page|98
项目|附注七|2021 年度|2020 年度
一、营业总收入||29,203,002,067|28,959,198,513
其中：营业收入|45|29,203,002,067|28,959,198,513
二、营业总成本||27,028,538,863|25,029,952,925
其中：营业成本|45|24,409,292,129|22,284,357,348
税金及附加|46|34,523,149|33,883,905
销售费用|47|28,352,060|28,626,353
管理费用|48|723,289,427|655,151,542
研发费用||960,368,086|769,253,295
财务费用|49|872,714,012|1,258,680,482
其中：利息费用||817,568,814|888,127,048
page|99
利息收入||123,932,028|69,643,563
加：其他收益|50|260,422,432|210,374,695
投资收益（损失以“－”号填列）|51|417,545,425|481,092,188
其中：对联营企业和合营企业的投资收益||372,995,711|364,917,450
公允价值变动收益（损失以“－”号填列）||62,740,244|26,571,868
信用减值损失（损失以“-”号填列）|52|-15,758,404|-7,778,080
资产减值损失（损失以“-”号填列）|53|-2,016,620,819|-1,469,815,813
资产处置收益（损失以“－”号填列）|54|-3,058,426|2,929,562
三、营业利润（亏损以“－”号填列）||879,733,656|3,172,620,008
加：营业外收入|55|336,016,333|291,971,222
减：营业外支出|56|126,200,698|85,851,340
四、利润总额（亏损总额以“－”号填列）||1,089,549,291|3,378,739,890
减：所得税费用|57|767,499,795|660,424,286
五、净利润（净亏损以“－”号填列）||322,049,496|2,718,315,604
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||322,049,496|2,718,315,604
2.终止经营净利润（净亏损以“－”号填列）||0|0
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||313,175,553|2,703,186,710
2.少数股东损益（净亏损以“-”号填列）||8,873,943|15,128,894
六、其他综合收益的税后净额||16,643,371|-176,330,538
（一）归属母公司所有者的其他综合收益的税后净额||20,896,544|-163,993,815
1．将重分类进损益的其他综合收益|42|20,896,544|-163,993,815
（1）权益法下可转损益的其他综合收益|42|2,893,096|-12,112,126
（2）外币财务报表折算差额|42|18,003,448|-151,881,689
（二）归属于少数股东的其他综合收益的税后净额|42|-4,253,173|-12,336,723
七、综合收益总额||338,692,867|2,541,985,066
（一）归属于母公司所有者的综合收益总额||334,072,097|2,539,192,895
（二）归属于少数股东的综合收益总额||4,620,770|2,792,171
八、每股收益：|||
基本每股收益(元/股)|58|0.0656|0.5665
page|100
项目|附注七|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||31,585,293,486|29,953,355,829
收到合同终止和解款项||0|1,309,561,000
取得政府补助及补贴||22,476,188|70,801,998
收到的税费返还||212,875,952|135,737,804
经营活动现金流入小计||31,820,645,626|31,469,456,631
购买商品、接受劳务支付的现金||16,614,089,982|16,153,595,488
支付给职工及为职工支付的现金||6,068,006,280|5,148,029,776
支付的各项税费||1,130,702,713|1,794,771,246
支付其他与经营活动有关的现金|60|583,989,834|827,812,816
经营活动现金流出小计||24,396,788,809|23,924,209,326
经营活动产生的现金流量净额|61|7,423,856,817|7,545,247,305
二、投资活动产生的现金流量：|||
收回投资收到的现金||9,300,000,000|9,500,000,000
取得投资收益收到的现金||344,694,007|343,878,395
处置固定资产、无形资产和其他长期资产收回的现金净额||22,812,227|8,086,540
取得存款利息收入所收到的现金||67,359,337|69,641,016
投资活动现金流入小计||9,734,865,571|9,921,605,951
