page|87
|2019 年度合并及公司现金流量表||||
|(除特别注明外，金额单位为人民币千元)||||
||2019 年度|2018 年度|2019 年度|2018 年度
项目|附注|合并|合并|公司|公司
一、经营活动产生的现金流量|||||
销售商品、提供劳务收到的现金||110,126,469|118,881,819|86,465,346|89,564,633
收到的税费返还||31,470|53,532|29,972|51,462
收到其他与经营活动有关的现金|四(55)|42,075|75,081|34,281|105,577
经营活动现金流入小计||110,200,014|119,010,432|86,529,599|89,721,672
购买商品、接受劳务支付的现金||(86,975,385)|(94,892,094)|(63,816,421)|(65,801,807)
支付给职工以及为职工支付的现金||(3,092,019)|(2,901,628)|(2,911,994)|(2,624,396)
支付的各项税费||(14,580,917)|(14,079,772)|(14,490,704)|(14,015,067)
支付其他与经营活动有关的现金|四(55)|(430,484)|(441,839)|(437,534)|(534,356)
经营活动现金流出小计||(105,078,805)|(112,315,333)|(81,656,653)|(82,975,626)
经营活动产生的现金流量净额|四(56),十二(8)|5,121,209|6,695,099|4,872,946|6,746,046
二、投资活动使用的现金流量|||||
收回委托贷款收到的现金||-|12,000|-|-
取得投资收益所收到的现金||594,868|811,473|544,358|768,605
处置固定资产收回的现金净额||67,503|210,122|62,728|3,243
处置子公司收到的现金||-|9,600|-|-
收到其他与投资活动有关的现金|四(55)|7,833,248|4,433,970|7,593,709|4,382,656
投资活动现金流入小计||8,495,619|5,477,165|8,200,795|5,154,504
购建固定资产和其他长期资产支付的现金||(1,430,411)|(1,187,005)|(1,421,904)|(1,191,643)
page|88
|2019 年度合并及公司现金流量表(续)||||
|(除特别注明外，金额单位为人民币千元)||||
||2019 年度|2018 年度|2019 年度|2018 年度
项目|附注|合并|合并|公司|公司
三、筹资活动使用的现金流量|||||
吸收投资收到的现金||-|37,102|-|37,102
取得借款收到的现金||4,755,100|2,536,759|4,700,000|2,421,159
筹资活动现金流入小计||4,755,100|2,573,861|4,700,000|2,458,261
偿还债务支付的现金||(3,695,208)|(2,646,157)|(3,621,775)|(2,508,000)
分配股利、利润或偿付利息支付的现金||(2,771,560)|(3,317,778)|(2,764,402)|(3,308,648)
其中：子公司支付给少数股东的利润||(3,266)|(6,457)|-|-
取得子公司少数股东权益支付的现金||-|(152,800)|-|-
支付其他与筹资活动有关的现金|四(55)|(89,124)|-|(86,386)|-
筹资活动现金流出小计||(6,555,892)|(6,116,735)|(6,472,563)|(5,816,648)
筹资活动使用的现金流量净额||(1,800,792)|(3,542,874)|(1,772,563)|(3,358,387)
四、汇率变动对现金及现金等价物的影响||10,598|13,771|-|-
五、现金及现金等价物净(减少)/增加额||(1,292,194)|1,237,627|(1,864,573)|1,350,520
加：年初现金及现金等价物余额|四(56)|8,741,893|7,504,266|7,619,013|6,268,493
六、年末现金及现金等价物余额|四(56)|7,449,699|8,741,893|5,754,440|7,619,013
