page|89
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,608,808,459.70|2,200,236,276.08
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
page|90
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||138,871,688.81|111,783,267.94
收到其他与经营活动有关的现金||54,749,915.68|31,774,251.38
经营活动现金流入小计||2,802,430,064.19|2,343,793,795.40
购买商品、接受劳务支付的现金||1,933,372,992.05|1,588,596,096.83
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||233,421,315.49|205,846,959.59
支付的各项税费||66,414,199.37|69,764,879.29
支付其他与经营活动有关的现金||231,305,180.98|203,991,479.68
经营活动现金流出小计||2,464,513,687.89|2,068,199,415.39
经营活动产生的现金流量净额||337,916,376.30|275,594,380.01
二、投资活动产生的现金流量：|||
收回投资收到的现金|||500,000.00
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||7,698,264.77|5,155,393.73
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||1,673,295,536.04|983,614,429.83
投资活动现金流入小计||1,680,993,800.81|989,269,823.56
购建固定资产、无形资产和其他长期资产支付的现金||141,464,102.55|190,133,521.11
投资支付的现金||29,900,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||1,574,933,662.23|1,396,477,539.79
投资活动现金流出小计||1,746,297,764.78|1,586,611,060.90
投资活动产生的现金流量净额||-65,303,963.97|-597,341,237.34
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||80,916,387.73|500,000.00
其中：子公司吸收少数股东投资收到的现金||500,000.00|500,000.00
取得借款收到的现金||114,767,722.33|880,322,699.81
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||195,684,110.06|880,822,699.81
偿还债务支付的现金|||316,072,482.00
分配股利、利润或偿付利息支付的现金||72,567,720.91|206,935,240.18
其中：子公司支付给少数股东的股利、利润||321,693.91|
支付其他与筹资活动有关的现金||149,331,572.50|
筹资活动现金流出小计||221,899,293.41|523,007,722.18
筹资活动产生的现金流量净额||-26,215,183.35|357,814,977.63
四、汇率变动对现金及现金等价物的影响||-17,202,858.42|-29,259,630.80
page|91
五、现金及现金等价物净增加额||229,194,370.56|6,808,489.50
加：期初现金及现金等价物余额||880,050,344.58|873,241,855.08
六、期末现金及现金等价物余额||1,109,244,715.14|880,050,344.58
