page|87
项目|附 注|2021 年度|2020 年度
一、营业总收入||2,612,570,399.83|2,020,516,424.11
其中：营业收入|||2,612,570,399.83  2,020,516,424.11
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,402,409,761.81|1,826,661,568.96
其中：营业成本||1,911,465,993.41|1,440,573,617.65
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||6,272,752.93|5,240,198.91
销售费用||255,310,322.50|188,976,164.14
管理费用||73,707,384.40|61,009,352.59
研发费用||119,207,415.61|100,121,297.37
财务费用||36,445,892.96|30,740,938.30
其中：利息费用||28,742,931.74|6,842,503.20
利息收入||9,960,496.12|7,595,121.90
加：其他收益||17,696,669.49|18,860,247.42
投资收益（损失以“－”号填列）||94,802,487.46|17,871,900.16
其中：对联营企业和合营企业的投资收益||3,365,925.36|-5,500,951.21
以摊余成本计量的金融资产终止确认收益||18,089,750.27|10,935,927.94
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||4,694,078.44|7,050,069.65
信用减值损失（损失以“-”号填列）||-62,250,589.87|-37,392,286.63
资产减值损失（损失以“-”号填列）||-1,191,945.39|-2,764,894.22
资产处置收益（损失以“－”号填列）||1,313,685.63|2,881,729.88
三、营业利润（亏损以“－”号填列）||265,225,023.78|200,361,621.41
加：营业外收入||619,707.80|1,717,567.71
减：营业外支出||4,880,549.56|3,907,603.75
四、利润总额（亏损总额以“－”号填列）||260,964,182.02|198,171,585.37
page|88
减：所得税费用||32,930,625.64|17,205,124.93
五、净利润（净亏损以“－”号填列）||228,033,556.38|180,966,460.44
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||228,033,556.38|180,966,460.44
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||236,336,014.92|193,001,094.31
2.少数股东损益（净亏损以“-”号填列）||-8,302,458.54|-12,034,633.87
六、其他综合收益的税后净额||-620,219.84|-678,973.90
（一）归属母公司所有者的其他综合收益的税后净额||-614,019.56|-676,746.60
1．不能重分类进损益的其他综合收益||-595,418.69|-670,064.71
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-595,418.69|-670,064.71
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-18,600.87|-6,681.89
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-18,600.87|-6,681.89
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-6,200.28|-2,227.30
七、综合收益总额||227,413,336.54|180,287,486.54
（一）归属于母公司所有者的综合收益总额||235,721,995.36|192,324,347.71
（二）归属于少数股东的综合收益总额||-8,308,658.82|-12,036,861.17
八、每股收益：|||
（一）基本每股收益(元/股)||1.75|1.42
（二）稀释每股收益(元/股)||1.69|1.41
