page|6
一、公司信息|
股票简称承德露露股票代码|000848
股票上市证券交易所深圳证券交易所|
公司的中文名称河北承德露露股份有限公司|
公司的中文简称承德露露|
公司的法定代表人沈志军|
注册地址河北省承德市高新技术产业开发区（西区 8 号）|
注册地址的邮政编码067000|
公司注册地址历史变更情况无|
办公地址河北省承德市高新技术产业开发区（西区 8 号）|
办公地址的邮政编码067000|
公司网址http://www.lolo.com.cn|
电子信箱lolo@lolo.com.cn|
二、联系人和联系方式|
董事会秘书|证券事务代表
姓名刘明珊|
联系地址河北省承德市高新技术产业开发区（西区 8 号）|
电话0314-2128181|
传真0314-2059100|
电子信箱lolozq@lolo.com.cn|
三、信息披露及备置地点|
公司披露年度报告的证券交易所网站《中国证券报》《证券时报》《证券日报》|
公司披露年度报告的媒体名称及网址巨潮资讯网（www.cninfo.com.cn）|
公司年度报告备置地点河北承德露露股份有限公司综合管理部|
四、注册变更情况|
组织机构代码91130000601268264C|
