page|69
项目|附注七|2020 年度|2019 年度
一、营业总收入|||3,551,838,948.75  3,632,599,836.27
其中：营业收入|61||3,551,838,948.75  3,632,599,836.27
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|||3,114,602,323.89  3,206,617,185.05
其中：营业成本|61||2,914,737,880.17  3,006,508,925.35
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|7,390,257.91|7,210,484.39
销售费用|63|25,285,171.81|27,387,474.64
管理费用|64|127,017,339.84|119,356,462.22
研发费用|||
财务费用|66|40,171,674.16|46,153,838.45
其中：利息费用||41,214,354.31|47,229,465.81
利息收入||2,656,908.49|2,362,441.67
加：其他收益|67|12,642,864.27|10,060,475.70
投资收益（损失以“－”号填列）|68|6,314,127.72|3,914,551.30
其中：对联营企业和合营企业的投资收益||3,632,780.11|3,914,551.30
以摊余成本计量的金融资产终止确认收益|||
page|70
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|71|-3,823,426.15|-780,627.35
资产减值损失（损失以“-”号填列）|||
资产处置收益（损失以“－”号填列）|73|377,827.60|-1,550,626.56
三、营业利润（亏损以“－”号填列）||452,748,018.30|437,626,424.31
加：营业外收入|74|1,172,738.23|1,481,556.83
减：营业外支出|75|4,793,292.74|394,476.32
四、利润总额（亏损总额以“－”号填列）||449,127,463.79|438,713,504.82
减：所得税费用|76|116,349,359.59|112,760,862.09
五、净利润（净亏损以“－”号填列）||332,778,104.20|325,952,642.73
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||332,778,104.20|325,952,642.73
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||332,834,447.39|325,952,642.73
2.少数股东损益（净亏损以“-”号填列）||-56,343.19|-
六、其他综合收益的税后净额||29,664.81|-246,449.27
（一）归属母公司所有者的其他综合收益的税后净额||29,664.81|-246,449.27
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
page|71
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||29,664.81|-246,449.27
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动||29,664.81|-246,449.27
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||332,807,769.01|325,706,193.46
（一）归属于母公司所有者的综合收益总额||332,864,112.20|325,706,193.46
（二）归属于少数股东的综合收益总额||-56,343.19|-
八、每股收益：|||
（一）基本每股收益(元/股)||0.84|0.82
（二）稀释每股收益(元/股)||不适用|不适用
