page|73
项目|附注七|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金|||3,960,973,406.66  4,020,086,335.07
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
page|74
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||2,713,432.26|3,746,610.22
收到其他与经营活动有关的现金|78(1)|35,401,230.97|41,390,483.03
经营活动现金流入小计|||3,999,088,069.89  4,065,223,428.32
购买商品、接受劳务支付的现金|||3,068,456,234.06  3,073,497,985.90
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||91,486,235.55|93,511,068.36
支付的各项税费||167,168,657.61|185,661,005.44
支付其他与经营活动有关的现金|78(2)|80,135,785.27|105,127,279.28
经营活动现金流出小计|||3,407,246,912.49  3,457,797,338.98
经营活动产生的现金流量净额||591,841,157.40|607,426,089.34
二、投资活动产生的现金流量：|||
收回投资收到的现金||16,318,652.39|
取得投资收益收到的现金||5,099,310.13|3,000,000.00
page|75
处置固定资产、无形资产和其他长期资产收回的现金净额||2,041,135.92|374,630.04
处置子公司及其他营业单位收到的现金净额|||-
收到其他与投资活动有关的现金|78(3)|3,832,729.10|22,136,275.17
投资活动现金流入小计||27,291,827.54|25,510,905.21
购建固定资产、无形资产和其他长期资产支付的现金||198,752,400.01|256,444,414.62
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|79(2)|4,809,569.89|-
支付其他与投资活动有关的现金|||
投资活动现金流出小计||203,561,969.90|256,444,414.62
投资活动产生的现金流量净额||-176,270,142.36|-230,933,509.41
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||3,000,000.00|-
其中：子公司吸收少数股东投资收到的现金||3,000,000.00|-
取得借款收到的现金||680,000,000.00|670,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||683,000,000.00|670,000,000.00
偿还债务支付的现金||897,197,150.31|641,154,736.39
分配股利、利润或偿付利息支付的现金||238,075,358.25|209,863,311.72
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||1,135,272,508.56|851,018,048.11
筹资活动产生的现金流量净额||-452,272,508.56|-181,018,048.11
page|76
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额|79(4)|-36,701,493.52|195,474,531.82
加：期初现金及现金等价物余额||583,523,348.59|388,048,816.77
六、期末现金及现金等价物余额||546,821,855.07|583,523,348.59
