page|94
项目|附注五|本期金额|上期金额
一、营业总收入|（三十五）|13,223,818,815.08|16,061,005,965.27
其中：营业收入|（三十五）|13,223,818,815.08|16,061,005,965.27
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||12,558,806,980.14|15,870,086,814.06
其中：营业成本|（三十五）|11,963,553,425.06|15,302,510,705.69
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（三十六）|60,904,801.15|65,024,056.54
销售费用|（三十七）|61,296,144.19|58,869,085.38
管理费用|（三十八）|439,039,442.40|413,528,754.30
研发费用|（三十九）|208,160,094.38|199,815,960.81
财务费用|（四十）|-174,146,927.04|-169,661,748.66
其中：利息费用||208,219,674.17|196,322,146.42
利息收入||119,235,579.54|131,986,001.92
加：其他收益|（四十一）|97,868,482.93|424,510,848.22
投资收益（损失以“-”号填列）|（四十二）|-55,117,541.78|128,422,256.06
其中：对联营企业和合营企业的投资收益||-76,186,061.11|63,934,360.42
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|（四十三）|-130,287,416.78|20,122,733.87
信用减值损失（损失以“-”号填列）|（四十四）|-14,092,231.27|
资产减值损失（损失以“-”号填列）|（四十五）|-14,308,956.37|-36,678,931.18
资产处置收益（损失以“-”号填列）|（四十六）|-2,676,054.12|24,399,446.29
三、营业利润（亏损以“-”号填列）||546,398,117.55|751,695,504.47
加：营业外收入|（四十七）|1,449,026.28|4,415,868.37
减：营业外支出|（四十八）|1,253,030.57|4,858,256.12
四、利润总额（亏损总额以“-”号填列）||546,594,113.26|751,253,116.72
减：所得税费用|（四十九）|104,735,598.90|141,415,421.28
五、净利润（净亏损以“-”号填列）||441,858,514.36|609,837,695.44
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||441,858,514.36|609,837,695.44
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||352,301,166.89|574,538,923.72
2．少数股东损益（净亏损以“-”号填列）||89,557,347.47|35,298,771.72
六、其他综合收益的税后净额||48,374,161.75|-123,994,678.27
归属于母公司所有者的其他综合收益的税后净额||48,374,161.75|-123,994,678.27
（一）不能重分类进损益的其他综合收益||54,046,360.24|
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益|||
3．其他权益工具投资公允价值变动||54,046,360.24|
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||-5,672,198.49|-123,994,678.27
1．权益法下可转损益的其他综合收益||-1,621,606.77|-1,790,624.22
2．其他债权投资公允价值变动|||
3．可供出售金融资产公允价值变动损益|||-130,578,149.94
4．金融资产重分类计入其他综合收益的金额|||
5．持有至到期投资重分类为可供出售金融资产损益|||
6．其他债权投资信用减值准备|||
7．现金流量套期储备（现金流量套期损益的有效部分）|||
8．外币财务报表折算差额||-4,050,591.72|8,374,095.89
9．其他|||
归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||490,232,676.11|485,843,017.17
归属于母公司所有者的综合收益总额||400,675,328.64|450,544,245.45
归属于少数股东的综合收益总额||89,557,347.47|35,298,771.72
八、每股收益：|||
（一）基本每股收益（元/股）||0.2395|0.3905
（二）稀释每股收益（元/股）||0.2395|0.3905
