page|90
资产|附注五|期末余额|上年年末余额
流动资产：|||
货币资金|（一）|4,804,273,763.15|5,802,787,754.92
结算备付金|||
拆出资金|||
交易性金融资产|||
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|（二）|146,877,450.57|218,827,583.53
应收票据|（三）|22,925,567.71|51,778,804.16
应收账款|(四)|1,833,485,110.65|1,541,697,769.59
应收款项融资|||
预付款项|(五)|2,357,527,931.28|59,071,266.68
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|(六)|432,814,112.76|148,591,057.13
买入返售金融资产|||
存货|（七）|2,263,312,362.14|2,195,459,922.48
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|（八）|142,365,141.95|67,746,348.53
流动资产合计||12,003,581,440.21|10,085,960,507.02
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|（九）||246,503,947.64
其他债权投资|||
持有至到期投资|||
长期应收款|||
长期股权投资|（十）|916,105,705.36|999,825,366.83
其他权益工具投资|（十一）|265,800,947.64|
其他非流动金融资产|||
投资性房地产|（十二）|579,084,370.00|535,817,129.13
固定资产|（十三）|2,719,405,217.99|2,567,338,583.68
在建工程|（十四）|1,059,480,393.15|668,360,330.15
生产性生物资产|||
油气资产|||
无形资产|（十五）|565,497,772.28|572,892,506.18
开发支出|||
商誉|（十六）|10,313,565.41|10,313,565.41
长期待摊费用|（十七）|172,073,760.08|194,756,134.52
递延所得税资产|（十八）|59,177,179.19|37,724,703.55
其他非流动资产|（十九）|102,840,097.19|77,338,210.70
非流动资产合计||6,449,779,008.29|5,910,870,477.79
资产总计||18,453,360,448.50|15,996,830,984.81
page|91
负债和所有者权益|附注五|期末余额|上年年末余额
流动负债：|||
短期借款|（二十）|8,253,636,901.60|6,713,759,055.39
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|（二十一）|103,243,733.73|5,442,188.19
应付票据|||
应付账款|（二十二）|2,119,630,803.22|1,709,497,335.08
预收款项|（二十三）|22,014,941.91|79,421,277.56
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|（二十四）|269,540,114.31|215,920,281.19
应交税费|（二十五）|219,195,008.55|168,187,197.22
其他应付款|（二十六）|129,452,609.44|116,310,472.39
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|（二十七）|21,265,395.95|1,136,335.51
流动负债合计||11,137,979,508.71|9,009,674,142.53
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|（二十八）|4,290,474.07|4,313,573.25
递延收益|（二十九）|70,574,313.70|61,125,155.21
递延所得税负债|（十八）|138,406,474.34|151,912,124.13
其他非流动负债|||
非流动负债合计||213,271,262.11|217,350,852.59
负债合计||11,351,250,770.82|9,227,024,995.12
所有者权益：|||
股本|（三十）|1,471,259,363.00|1,471,259,363.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|（三十一）|774,981,128.87|774,981,128.87
减：库存股|||
其他综合收益|（三十二）|284,713,462.08|236,339,300.33
专项储备|||
盈余公积|（三十三）|1,110,435,434.85|1,110,435,434.85
一般风险准备|||
未分配利润|（三十四）|3,281,258,520.59|3,076,083,290.00
归属于母公司所有者权益合计||6,922,647,909.39|6,669,098,517.05
少数股东权益||179,461,768.29|100,707,472.64
所有者权益合计||7,102,109,677.68|6,769,805,989.69
负债和所有者权益总计||18,453,360,448.50|15,996,830,984.81
