page|96
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||11,734,051,218.67|15,189,688,606.27
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||99,714,636.18|98,959,888.43
收到其他与经营活动有关的现金|（五十一）|244,802,569.35|517,236,483.79
经营活动现金流入小计||12,078,568,424.20|15,805,884,978.49
购买商品、接受劳务支付的现金||10,390,054,989.81|12,771,637,289.25
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||2,149,599,924.96|1,980,139,864.73
支付的各项税费||287,333,452.85|371,735,731.35
支付其他与经营活动有关的现金|（五十一）|251,746,903.23|261,601,661.12
经营活动现金流出小计||13,078,735,270.85|15,385,114,546.45
经营活动产生的现金流量净额||-1,000,166,846.65|420,770,432.04
二、投资活动产生的现金流量|||
收回投资收到的现金||5,746,200.00|3,460,883.10
取得投资收益收到的现金||17,969,480.19|110,823,967.10
处置固定资产、无形资产和其他长期资产收回的现金净额||8,890,456.62|19,733,513.15
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|（五十一）||133,291,317.13
投资活动现金流入小计||32,606,136.81|267,309,680.48
购建固定资产、无形资产和其他长期资产支付的现金||1,041,266,890.97|776,014,715.36
投资支付的现金||530,000.00|3,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（五十一）|114,947,319.60|695,896,000.00
投资活动现金流出小计||1,156,744,210.57|1,474,910,715.36
投资活动产生的现金流量净额||-1,124,138,073.76|-1,207,601,034.88
三、筹资活动产生的现金流量|||
吸收投资收到的现金||3,489,520.00|1,383,789.00
其中：子公司吸收少数股东投资收到的现金||3,489,520.00|1,383,789.00
取得借款收到的现金||15,696,821,419.29|15,857,555,640.65
收到其他与筹资活动有关的现金|（五十一）|3,473,259,154.70|5,373,595,377.16
筹资活动现金流入小计||19,173,570,093.99|21,232,534,806.81
偿还债务支付的现金||14,628,915,179.09|16,985,926,991.13
分配股利、利润或偿付利息支付的现金||358,965,979.93|273,900,419.47
其中：子公司支付给少数股东的股利、利润|||8,075,227.00
支付其他与筹资活动有关的现金|（五十一）|2,577,842,793.27|3,086,803,104.45
筹资活动现金流出小计||17,565,723,952.29|20,346,630,515.05
筹资活动产生的现金流量净额||1,607,846,141.70|885,904,291.76
四、汇率变动对现金及现金等价物的影响||125,748,294.60|98,243,205.24
五、现金及现金等价物净增加额||-390,710,484.11|197,316,894.16
加：期初现金及现金等价物余额||1,808,672,598.39|1,611,355,704.23
六、期末现金及现金等价物余额||1,417,962,114.28|1,808,672,598.39
