page|147
编制单位:重庆再升科技股份有限公司|||
|||单位:元币种:人民币
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|七、（一）|310,812,258.76|432,479,722.16
结算备付金|||
拆出资金|||
交易性金融资产|七、（二）|2,391,632.00|20,428,616.00
衍生金融资产|||
应收票据|七、（四）|57,812,297.68|80,228,584.59
应收账款|七、（五）|630,601,740.67|487,189,958.67
应收款项融资|七、（六）|82,675,886.76|94,794,793.11
预付款项|七、（七）|14,302,242.83|16,022,970.18
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、（八）|22,564,580.85|29,863,885.12
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、（九）|178,193,155.62|154,512,208.69
合同资产|七、（十）|13,133,663.80|9,821,763.55
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、（十三）|12,430,684.45|8,056,456.66
流动资产合计||1,324,918,143.42|1,333,398,958.73
page|148
|2 0 2 1 年 年 度 报 告||
长期股权投资|七、（十五）|83,817,327.91|39,794,148.03
其他权益工具投资|七、（十八）|4,350,000.00|600,000.00
其他非流动金融资产|||
投资性房地产|||
固定资产|七、（二十一）|804,101,316.51|798,935,379.91
在建工程|七、（二十二）|147,696,378.50|12,589,767.15
生产性生物资产|||
油气资产|||
使用权资产|七、（二十五）|31,004,504.23|
无形资产|七、（二十六）|183,372,910.73|199,183,483.65
开发支出|七、（二十七）|8,283,905.12|
商誉|七、（二十八）|280,180,513.05|280,180,513.05
长期待摊费用|七、（二十九）|7,126,744.84|15,299,957.46
递延所得税资产|七、（三十）|12,745,153.99|13,991,153.12
其他非流动资产|七、（三十一）|43,877,399.60|48,415,754.54
非流动资产合计||1,606,556,154.48|1,408,990,156.91
资产总计||2,931,474,297.90|2,742,389,115.64
流动负债：|||
短期借款|七、（三十二）|344,353,954.85|342,484,860.80
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、（三十五）|19,085,011.09|28,333,230.21
应付账款|七、（三十六）|232,910,068.38|226,965,722.65
预收款项|||
合同负债|七、（三十八）|21,960,749.50|27,769,100.54
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、（三十九）|30,827,314.55|38,780,379.70
page|149
|2 0 2 1 年 年 度 报 告||
应交税费|七、（四十）|14,569,705.01|18,361,636.35
其他应付款|七、（四十一）|20,172,881.81|11,718,151.31
其中：应付利息|七、（四十一）|49,305.55|
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、（四十三）|3,291,571.22|
其他流动负债|七、（四十四）|54,352,356.88|54,160,084.65
流动负债合计||741,523,613.29|748,573,166.21
非流动负债：|||
保险合同准备金|||
长期借款|七、（四十五）|50,000,000.00|
应付债券|||
其中：优先股|||
永续债|||
租赁负债|七、（四十七）|19,985,845.41|
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|七、（五十一）|71,716,919.44|75,920,386.03
递延所得税负债|七、（三十）|17,407,696.89|19,741,032.58
其他非流动负债|||
非流动负债合计||159,110,461.74|95,661,418.61
负债合计||900,634,075.03|844,234,584.82
所有者权益（或股东权益）：|||
实收资本（或股本）|七、（五十三）|725,031,006.00|718,994,343.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、（五十五）|477,168,526.93|434,828,330.55
减：库存股|七、（五十六）|7,847,983.94|15,681,209.18
page|150
其他综合收益|||
专项储备|||
盈余公积|七、（五十九）|100,039,481.14|91,006,800.95
一般风险准备|||
未分配利润|七、（六十）|688,446,262.59|592,105,809.35
归属于母公司所有者权益|||
||1,982,837,292.72|1,821,254,074.67
（或股东权益）合计|||
少数股东权益||48,002,930.15|76,900,456.15
所有者权益（或股东权|||
||2,030,840,222.87|1,898,154,530.82
益）合计|||
负债和所有者权益|||
||2,931,474,297.90|2,742,389,115.64
（或股东权益）总计|||
