page|113
项目|附注五|本期金额|上期金额
一、营业总收入||16,488,253,175.97|14,967,234,846.43
其中：营业收入|（四十）|16,488,253,175.97|14,967,234,846.43
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||15,945,582,878.12|14,436,742,688.43
其中：营业成本|（四十）|14,898,335,355.79|13,271,458,293.82
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（四十一）|68,232,119.27|83,365,441.31
销售费用|（四十二）|69,785,695.89|82,425,127.05
管理费用|（四十三）|628,140,916.72|473,768,439.90
研发费用|（四十四）|310,326,547.06|255,116,919.67
财务费用|（四十五）|-29,237,756.61|270,608,466.68
其中：利息费用||207,696,050.50|131,723,874.37
利息收入||147,892,780.49|113,948,160.03
加：其他收益|（四十六）|197,958,012.64|128,751,293.31
投资收益（损失以“-”号填列）|（四十七）|-5,134,611.33|259,383,871.64
其中：对联营企业和合营企业的投资收益||-22,809,132.45|-260,312.58
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|（四十八）|314,635,023.47|253,253,607.49
信用减值损失（损失以“-”号填列）|（四十九）|-7,525,278.15|-20,508,136.46
资产减值损失（损失以“-”号填列）|（五十）|-25,967,125.51|-31,358,192.77
资产处置收益（损失以“-”号填列）|（五十一）|4,379,105.10|1,547,943.82
三、营业利润（亏损以“-”号填列）||1,021,015,424.07|1,121,562,545.03
加：营业外收入|（五十二）|4,110,984.36|3,895,509.68
减：营业外支出|（五十三）|1,759,000.53|5,571,105.62
四、利润总额（亏损总额以“-”号填列）||1,023,367,407.90|1,119,886,949.09
减：所得税费用|（五十四）|189,304,282.88|166,799,309.35
五、净利润（净亏损以“-”号填列）||834,063,125.02|953,087,639.74
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||834,063,125.02|953,087,639.74
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||775,394,154.82|857,132,642.21
2．少数股东损益（净亏损以“-”号填列）||58,668,970.20|95,954,997.53
六、其他综合收益的税后净额||274,420,631.08|-106,426,326.04
归属于母公司所有者的其他综合收益的税后净额||274,630,789.66|-106,571,365.56
（一）不能重分类进损益的其他综合收益||214,014,225.00|-30,934,294.47
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益|||
3．其他权益工具投资公允价值变动||214,014,225.00|-30,934,294.47
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||60,616,564.66|-75,637,071.09
1．权益法下可转损益的其他综合收益||-44,691,586.34|-29,674,727.49
2．其他债权投资公允价值变动|||
3．金融资产重分类计入其他综合收益的金额|||
4．其他债权投资信用减值准备|||
5．现金流量套期储备|||
6．外币财务报表折算差额||-71,020,491.81|-45,962,343.60
7．其他||176,328,642.81|
归属于少数股东的其他综合收益的税后净额||-210,158.58|145,039.52
七、综合收益总额||1,108,483,756.10|846,661,313.70
归属于母公司所有者的综合收益总额||1,050,024,944.48|750,561,276.65
归属于少数股东的综合收益总额||58,458,811.62|96,100,037.05
八、每股收益：|||
（一）基本每股收益（元/股）||0.5065|0.5826
（二）稀释每股收益（元/股）||0.5065|0.5826
