page|115
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||12,307,723,935.18|15,055,578,927.66
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||269,000,818.21|287,316,882.24
收到其他与经营活动有关的现金|（五十六）|432,391,187.32|263,994,507.94
经营活动现金流入小计||13,009,115,940.71|15,606,890,317.84
购买商品、接受劳务支付的现金||9,075,573,194.33|9,673,003,016.07
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||2,450,107,061.69|2,276,399,478.14
支付的各项税费||300,578,363.85|321,175,980.01
支付其他与经营活动有关的现金|（五十六）|315,251,598.82|213,835,823.75
经营活动现金流出小计||12,141,510,218.69|12,484,414,297.97
经营活动产生的现金流量净额|（五十七）|867,605,722.02|3,122,476,019.87
二、投资活动产生的现金流量|||
收回投资收到的现金|||175,159,435.89
取得投资收益收到的现金||20,669,798.63|206,742,830.80
处置固定资产、无形资产和其他长期资产收回的现金净额||19,865,272.66|17,853,166.21
处置子公司及其他营业单位收到的现金净额||195,085.31|
收到其他与投资活动有关的现金|||
投资活动现金流入小计||40,730,156.60|399,755,432.90
购建固定资产、无形资产和其他长期资产支付的现金||2,830,414,152.67|1,942,442,456.73
投资支付的现金||16,246,242.60|32,500,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||2,846,660,395.27|1,974,942,456.73
投资活动产生的现金流量净额||-2,805,930,238.67|-1,575,187,023.83
三、筹资活动产生的现金流量|||
吸收投资收到的现金||2,635,172,810.36|176,480,000.00
其中：子公司吸收少数股东投资收到的现金||1,173,520,000.00|176,480,000.00
取得借款收到的现金||23,486,777,425.28|27,181,439,026.13
收到其他与筹资活动有关的现金|（五十六）|7,054,970,208.14|2,848,492,400.08
筹资活动现金流入小计||33,176,920,443.78|30,206,411,426.21
偿还债务支付的现金||22,798,115,559.90|25,704,161,775.80
分配股利、利润或偿付利息支付的现金||532,435,237.05|270,986,510.21
其中：子公司支付给少数股东的股利、利润||30,000,000.00|27,000,000.00
支付其他与筹资活动有关的现金|（五十六）|4,384,176,530.89|5,675,311,367.45
筹资活动现金流出小计||27,714,727,327.84|31,650,459,653.46
筹资活动产生的现金流量净额||5,462,193,115.94|-1,444,048,227.25
四、汇率变动对现金及现金等价物的影响||-11,304,166.89|-87,271,782.38
五、现金及现金等价物净增加额||3,512,564,432.40|15,968,986.41
加：期初现金及现金等价物余额||1,433,931,100.69|1,417,962,114.28
六、期末现金及现金等价物余额||4,946,495,533.09|1,433,931,100.69
