page|103
项目|附 注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,819,168,985.85|1,276,534,132.61
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
page|104
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金||26,663,511.36|23,287,549.06
经营活动现金流入小计||1,845,832,497.21|1,299,821,681.67
购买商品、接受劳务支付的现金||1,340,027,613.07|1,007,392,884.56
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||140,503,593.54|122,888,985.25
支付的各项税费||132,261,922.53|123,454,487.07
支付其他与经营活动有关的现金||139,116,003.59|109,913,810.86
经营活动现金流出小计||1,751,909,132.73|1,363,650,167.74
经营活动产生的现金流量净额||93,923,364.48|-63,828,486.07
二、投资活动产生的现金流量：|||
收回投资收到的现金||5,500,000.00|-
取得投资收益收到的现金||45,833.08|37,601.06
处置固定资产、无||1,244,568.79|3,935,810.52
page|105
形资产和其他长期资产收回的现金净额|||
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||6,790,401.87|3,973,411.58
购建固定资产、无形资产和其他长期资产支付的现金||96,490,751.02|118,543,844.56
投资支付的现金||87,474,800.00|28,650,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||35,227,388.86|82,571,416.33
支付其他与投资活动有关的现金||70,000,000.00|3,000,000.00
投资活动现金流出小计||289,192,939.88|232,765,260.89
投资活动产生的现金流量净额||-282,402,538.01|-228,791,849.31
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||46,391,525.50|609,683,016.80
其中：子公司吸收少数股东投资收到的现金||4,500,000.00|2,075,000.00
取得借款收到的现金||928,125,896.21|717,535,000.00
收到其他与筹资活动有关的现金||40,558,000.00|7,650,000.00
筹资活动现金流入小计||1,015,075,421.71|1,334,868,016.80
偿还债务支付的现金||759,384,600.00|363,048,800.00
分配股利、利润或偿付利息支付的现金||50,100,708.02|37,215,651.09
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||200,872,618.28|158,729,655.42
筹资活动现金流出小计||1,010,357,926.30|558,994,106.51
筹资活动产生的现金流量净额||4,717,495.41|775,873,910.29
四、汇率变动对现金||74.39|
page|106
及现金等价物的影响|||
五、现金及现金等价物净增加额||-183,761,603.73|483,253,574.91
加：期初现金及现金等价物余额||674,593,415.57|191,339,840.66
六、期末现金及现金等价物余额||490,831,811.84|674,593,415.57
