page|90
项目|附注|2023 年|2022 年
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||6,043,371,531.36|6,132,147,313.10
客户存款和同业存放款项净增加额||0.00|0.00
向中央银行借款净增加额||0.00|0.00
page|91
向其他金融机构拆入资金净增加额||0.00|0.00
收到原保险合同保费取得的现金||0.00|0.00
收到再保险业务现金净额||0.00|0.00
保户储金及投资款净增加额||0.00|0.00
收取利息、手续费及佣金的现金||0.00|0.00
拆入资金净增加额||0.00|0.00
回购业务资金净增加额||0.00|0.00
代理买卖证券收到的现金净额||0.00|0.00
收到的税费返还||145,293,826.11|166,692,764.73
收到其他与经营活动有关的现金|五、（五十二）|15,446,090.57|16,157,808.32
经营活动现金流入小计||6,204,111,448.04|6,314,997,886.15
购买商品、接受劳务支付的现金||5,648,530,376.03|5,667,924,397.59
客户贷款及垫款净增加额||0.00|0.00
存放中央银行和同业款项净增加额||0.00|0.00
支付原保险合同赔付款项的现金||0.00|0.00
为交易目的而持有的金融资产净增加额||0.00|0.00
拆出资金净增加额||0.00|0.00
支付利息、手续费及佣金的现金||0.00|0.00
支付保单红利的现金||0.00|0.00
支付给职工以及为职工支付的现金||278,026,961.40|272,578,256.86
支付的各项税费||46,694,937.19|94,637,116.78
支付其他与经营活动有关的现金|五、（五十二）|59,020,050.40|59,912,202.77
经营活动现金流出小计||6,032,272,325.02|6,095,051,974.00
经营活动产生的现金流量净额||171,839,123.02|219,945,912.15
二、投资活动产生的现金流量：|||
收回投资收到的现金||0.00|0.00
取得投资收益收到的现金||0.00|107,485.84
处置固定资产、无形资产和其他长期资产收回的现金净额||4,813,381.89|2,066,581.53
处置子公司及其他营业单位收到的现金净额||0.00|0.00
收到其他与投资活动有关的现金||3,021,962.41|0.00
投资活动现金流入小计||7,835,344.30|2,174,067.37
购建固定资产、无形资产和其他长期资产支付的现金||33,565,172.39|69,904,953.21
投资支付的现金||0.00|0.00
质押贷款净增加额||0.00|0.00
取得子公司及其他营业单位支付的现金净额||0.00|0.00
支付其他与投资活动有关的现金||133,767,609.26|7,080,056.32
投资活动现金流出小计||167,332,781.65|76,985,009.53
投资活动产生的现金流量净额||-159,497,437.35|-74,810,942.16
三、筹资活动产生的现金流量：|||
page|92
吸收投资收到的现金||300,678,689.43|0.00
其中：子公司吸收少数股东投资收到的现金||0.00|0.00
取得借款收到的现金||104,800,000.00|145,300,000.00
发行债券收到的现金||0.00|0.00
收到其他与筹资活动有关的现金||0.00|0.00
筹资活动现金流入小计||405,478,689.43|145,300,000.00
偿还债务支付的现金||125,600,000.00|276,200,000.00
分配股利、利润或偿付利息支付的现金||118,805,510.00|111,580,046.72
其中：子公司支付给少数股东的股利、利润||0.00|0.00
支付其他与筹资活动有关的现金|五、（五十二）|83,807,216.87|0.00
筹资活动现金流出小计||328,212,726.87|387,780,046.72
筹资活动产生的现金流量净额||77,265,962.56|-242,480,046.72
四、汇率变动对现金及现金等价物的影响||6,365,165.36|9,206,179.41
五、现金及现金等价物净增加额||95,972,813.59|-88,138,897.32
加：期初现金及现金等价物余额||214,169,976.43|302,308,873.75
六、期末现金及现金等价物余额||310,142,790.02|214,169,976.43
