page|87
项目|附注|2023 年|2022 年
一、营业总收入||6,295,854,261.45|6,308,383,517.88
其中：营业收入|五、（三十七）|6,295,854,261.45|6,308,383,517.88
利息收入||0.00|0.00
已赚保费||0.00|0.00
手续费及佣金收入||0.00|0.00
二、营业总成本||6,125,142,763.43|6,077,043,466.01
其中：营业成本|五、（三十七）|5,866,959,040.38|5,836,848,933.42
利息支出||0.00|0.00
手续费及佣金支出||0.00|0.00
退保金||0.00|0.00
赔付支出净额||0.00|0.00
提取保险责任准备金净额||0.00|0.00
保单红利支出||0.00|0.00
分保费用||0.00|0.00
税金及附加|五、（三十八）|16,874,853.88|19,825,810.06
销售费用|五、（三十九）|84,738,726.02|82,829,104.03
管理费用|五、（四十）|120,553,286.03|90,220,568.07
研发费用|五、（四十一）|46,132,847.92|51,560,570.98
财务费用|五、（四十二）|-10,115,990.80|-4,241,520.55
其中：利息费用||3,050,469.34|7,258,537.29
利息收入||4,478,802.99|1,742,738.38
加：其他收益|五、（四十|12,704,489.92|14,565,478.93
page|88
|三）||
投资收益（损失以“-”号填列）|五、（四十四）|-29,126,352.16|-7,232,536.09
其中：对联营企业和合营企业的投资收益（损失以“-”号填列）||0.00|0.00
以摊余成本计量的金融资产终止确认收益（损失以“-”号填列）||0.00|0.00
汇兑收益（损失以“-”号填列）||0.00|0.00
净敞口套期收益（损失以“-”号填列）||0.00|0.00
公允价值变动收益（损失以“-”号填列）|五、（四十五）|1,500,738.09|-1,619,294.69
信用减值损失（损失以“-”号填列）|五、（四十六）|-2,964,355.83|606,906.43
资产减值损失（损失以“-”号填列）|五、（四十七）|-9,989,692.28|-3,602,719.86
资产处置收益（损失以“-”号填列）|五、（四十八）|318,370.31|16,486.23
三、营业利润（亏损以“－”号填列）||143,154,696.07|234,074,372.82
加：营业外收入|五、（四十九）|2,585,871.67|2,735,909.57
减：营业外支出|五、（五十）|587,368.29|10,161,293.15
四、利润总额（亏损总额以“－”号填列）||145,153,199.45|226,648,989.24
减：所得税费用|五、（五十一）|17,873,164.22|35,648,057.60
五、净利润（净亏损以“－”号填列）||127,280,035.23|191,000,931.64
其中：被合并方在合并前实现的净利润||0.00|0.00
（一）按经营持续性分类：|-|-|-
1.持续经营净利润（净亏损以“-”号填列）||127,280,035.23|191,000,931.64
2.终止经营净利润（净亏损以“-”号填列）||0.00|0.00
（二）按所有权归属分类：|-|-|-
1.少数股东损益（净亏损以“-”号填列）||0.00|0.00
2.归属于母公司所有者的净利润（净亏损以“-”号填列）||127,280,035.23|191,000,931.64
六、其他综合收益的税后净额||0.00|0.00
（一）归属于母公司所有者的其他综合收益的税后净额||0.00|0.00
1.不能重分类进损益的其他综合收益||0.00|0.00
（1）重新计量设定受益计划变动额||0.00|0.00
（2）权益法下不能转损益的其他综合收益||0.00|0.00
（3）其他权益工具投资公允价值变动||0.00|0.00
（4）企业自身信用风险公允价值变动||0.00|0.00
（5）其他||0.00|0.00
2.将重分类进损益的其他综合收益||0.00|0.00
page|89
（1）权益法下可转损益的其他综合收益||0.00|0.00
（2）其他债权投资公允价值变动||0.00|0.00
（3）金融资产重分类计入其他综合收益的金额||0.00|0.00
（4）其他债权投资信用减值准备||0.00|0.00
（5）现金流量套期储备||0.00|0.00
（6）外币财务报表折算差额||0.00|0.00
（7）其他||0.00|0.00
（二）归属于少数股东的其他综合收益的税后净额||0.00|0.00
七、综合收益总额||127,280,035.23|191,000,931.64
（一）归属于母公司所有者的综合收益总额||127,280,035.23|191,000,931.64
（二）归属于少数股东的综合收益总额||0.00|0.00
八、每股收益：|||
（一）基本每股收益（元/股）||0.45|0.73
（二）稀释每股收益（元/股）||0.45|0.73
