page|182
资产|附注六|合并||母公司|
||2019 年 12 月 31 日|2018 年 12 月 31 日|2019 年 12 月 31 日|2018 年 12 月 31 日
货币资金|1|11,307,006,407.12|9,476,842,171.18|9,351,470,339.72|7,090,279,655.02
其中：客户存款||9,048,335,152.14|6,648,358,241.31|7,523,422,990.88|5,004,662,860.03
结算备付金|2|1,620,500,175.74|1,304,490,342.18|1,673,483,279.55|1,312,845,169.46
其中：客户备付金||1,414,442,054.31|1,246,278,251.62|1,389,416,142.15|1,237,171,888.90
融出资金|3|5,341,021,020.05|3,911,408,358.16|5,341,021,020.05|3,911,408,358.16
衍生金融资产|4|1,079,375.00|3,694,840.50|-|-
存出保证金|5|1,701,638,916.42|1,088,145,136.46|145,390,381.13|70,847,066.01
应收款项|6|118,231,355.90|173,676,803.33|64,721,361.04|146,760,989.16
买入返售金融资产|7|7,052,109,397.06|9,902,847,917.67|6,927,842,107.13|9,667,615,054.97
应收利息|8||709,218,363.45||695,095,982.36
金融投资：|||||
以公允价值计量且其    变动计入当期损益    的金融资产|9||8,669,832,213.57||8,127,842,368.11
交易性金融资产|10|11,580,616,998.34||9,278,544,802.63|
债权投资|11|14,738,275,841.48||14,665,997,781.21|
可供出售金融资产|12||11,140,268,875.79||10,476,797,919.44
其他债权投资|13|11,796,666,800.74||11,796,666,800.74|
其他权益工具投资|14|75,000,000.00||75,000,000.00|
持有至到期投资|15||15,921,265,315.46||15,871,959,638.73
长期股权投资|16|239,264,124.17|161,577,952.35|1,578,549,685.40|1,578,549,685.40
投资性房地产|17|17,134,165.03|19,265,329.63|17,134,165.03|19,265,329.63
固定资产|18|151,395,967.85|149,009,542.02|102,782,796.43|96,817,401.19
无形资产|19|130,445,760.68|116,846,312.04|113,086,087.45|102,065,121.24
商誉|20|22,096,264.01|22,096,264.01|13,574,980.76|13,574,980.76
递延所得税资产|21|243,035,573.18|199,466,791.30|233,725,893.27|155,311,645.89
其他资产|22|172,617,108.60|197,173,877.15|124,210,846.87|131,863,024.50
资产总计||66,308,135,251.37|63,167,126,406.25|61,503,202,328.41|59,468,899,390.03
page|183
负债和股东权益|附注六|合并||母公司|
||2019 年 12 月 31 日|2018 年 12 月 31 日|2019 年 12 月 31 日|2018 年 12 月 31 日
负债：|||||
应付短期融资款|25|700,764,530.05|2,654,240,000.00|700,764,530.05|2,654,240,000.00
拆入资金|26|5,992,190,436.50|7,200,000,000.00|5,992,190,436.50|7,200,000,000.00
交易性金融负债|27|1,223,213,533.74||506,089,668.22|
以公允价值计量且     其变动计入当期损益        的金融负债|28||119,161,440.24||-
衍生金融负债|4|1,665,146.27|-|1,501,480.20|-
卖出回购金融资产款|29||18,330,330,267.44   17,671,524,784.67   18,275,859,866.37   17,671,524,784.67||
代理买卖证券款|30|11,639,809,673.65|8,725,023,456.47|8,928,774,357.54|6,257,516,507.64
应付职工薪酬|31|618,893,789.83|365,467,131.44|479,021,217.41|276,842,482.40
应交税费|32|100,105,850.08|43,888,305.80|83,853,702.90|29,045,253.72
应付款项|33|40,320,191.00|63,597,470.21|16,262,996.87|23,202,089.82
应付利息|34||523,783,508.20||523,783,508.20
应付债券|35||13,007,372,684.50   11,614,002,607.49   13,007,372,684.50   11,614,002,607.49||
递延所得税负债|21|11,208,635.16|6,886,423.17|-|-
其他负债|36|131,427,324.65|137,652,211.99|39,650,970.22|52,111,253.91
负债合计|||51,797,302,062.87   49,125,227,339.68   48,031,341,910.78   46,302,268,487.85||
股东权益：|||||
股本|37|4,215,541,972.00|4,215,541,972.00|4,215,541,972.00|4,215,541,972.00
