page|83
|2019 年 12 月 31 日合并及公司利润表（除特别注明外，金额单位为人民币元）||||
||2019 年度|2018 年度|2019 年度|2018 年度
项目|附注|合并|合并|公司|公司
一、营业收入|五 (37)|290,514,554,553|290,876,776,866|-|-
二、减：营业成本|五 (37)|(214,133,057,016)|(213,585,637,513)|-|-
税金及附加|五 (38)|(1,236,265,104)|(1,389,470,984)|(199,442)|(2,898,119)
销售费用|五 (39)|(33,544,986,730)|(35,169,715,460)|-|-
管理费用|五 (40)|(22,977,013,828)|(22,925,119,665)|(9,339,669)|(9,113,588)
研发费用|五 (41)|(1,708,969,828)|(872,225,770)|-|-
财务费用|五 (42)|(717,430,307)|137,779,791|126,876,138|49,465,360
其中：利息费用||(1,877,622,806)|(1,539,367,075)|-|-
利息收入||1,269,259,729|1,735,244,249|130,752,385|53,201,547
信用减值损失|五 (43)|(3,298,792,970)|(3,609,535,060)|-|-
资产减值损失|五 (44)|(374,917,403)|(255,174,449)|-|-
公允价值变动收益||96,073,752|24,695,000|-|-
|五 (45),||||
加：投资收益|十五 (8)|2,174,504,090|2,475,567,494|1,801,506,250|699,083,224
其中：对联营和合营企业的|||||
投资收益||1,957,008,332|2,236,077,532|-|-
资产处置损失|五 (46)|(2,126,903,453)|(3,971,803,149)|-|-
其他收益|五 (47)|776,360,035|185,213,758|-|-
三、营业利润||13,443,155,791|11,921,350,859|1,918,843,277|736,536,877
加：营业外收入|五 (48)|818,549,639|746,105,117|22,706|13,996
减：营业外支出|五 (48)|(226,519,048)|(592,093,089)|-|(1,155,943)
四、利润总额||14,035,186,382|12,075,362,887|1,918,865,983|735,394,930
减：所得税费用|五 (49)|(2,771,062,083)|(2,774,699,072)|(25,495,796)|-
五、净利润||11,264,124,299|9,300,663,815|1,893,370,187|735,394,930
（一）按经营持续性分类||11,264,124,299|9,300,663,815|1,893,370,187|735,394,930
1. 持续经营净利润||11,264,124,299|9,300,663,815|1,893,370,187|735,394,930
2. 终止经营净利润||-|-|-|-
（二）按所有权归属分类||11,264,124,299|9,300,663,815|1,893,370,187|735,394,930
1. 归属于母公司股东的净利润||4,982,083,711|4,080,771,727|1,893,370,187|735,394,930
2. 少数股东损益||6,282,040,588|5,219,892,088|-|-
六、其他综合收益的税后净额|五 (34)|(501,267,045)|(245,092,538)|-|-
page|84
2019 年 12 月 31 日合并及公司利润表（续）（除特别注明外，金额单位为人民币元）|||||
||2019 年度|2018 年度|2019 年度|2018 年度
项目|附注|合并|合并|公司|公司
七、综合收益总额||10,762,857,254|9,055,571,277|1,893,370,187|735,394,930
归属于母公司股东的综合收益总额||4,761,838,343|3,973,083,626|1,893,370,187|735,394,930
归属于少数股东的综合收益总额||6,001,018,911|5,082,487,651|-|-
八、每股收益|||||
基本每股收益|五 (50)|0.161|0.132|不适用|不适用
稀释每股收益|五 (50)|0.161|0.132|不适用|不适用
