page|85
|支付的各项税费|||(4,718,908,461)||(7,614,984,525)||(26,096,848)||(14,275,601)
|支付其他与经营活动有关的现金|五 (51)||(5,819,650,965)||(4,813,897,949)||(3,876,247)||(4,892,130)
|经营活动现金流出小计|||(205,920,576,657)||(213,224,838,125)||(38,447,950)||(29,139,441)
|经营活动产生的现金流量净额||五 (52)|96,208,235,799||94,829,725,347||91,026,214||32,159,186
|二、投资活动产生的现金流量|||||||||
|收回投资收到的现金|||506,900,000||-||-||-
|取得投资收益收到的现金|||311,273,890||259,275,327||1,801,506,250||699,083,224
|处置固定资产、无形资产和其他长|||||||||
|期资产收回的现金净额|||1,511,988,292||1,089,785,558||-||-
|收到其他与投资活动有关的现金||五 (51)|11,168,022,050||9,451,686,844||-||-
|投资活动现金流入小计|||13,498,184,232||10,800,747,729||1,801,506,250||699,083,224
|购建固定资产、无形资产和其他长|||||||||
|期资产所支付的现金|||(60,366,712,823)||(56,823,254,789)||-||-
|投资支付的现金|||(574,731,382)||(1,556,010,002)||-||-
|支付其他与投资活动有关的现金||五 (51)|(11,434,000,000)||(13,588,500,146)||-||(3,042,122,315)
|投资活动现金流出小计|||(72,375,444,205)||(71,967,764,937)||-||(3,042,122,315)
|投资活动产生的现金流量净额|||(58,877,259,973)||(61,167,017,208)||1,801,506,250||(2,343,039,091)
|三、筹资活动产生的现金流量|||||||||
|吸收投资收到的现金|||557,221,240||3,016,033,190||49,861,240||3,008,733,190
|其中：子公司吸收少数股东投资收|||||||||
|到的现金|||507,360,000||7,300,000||-||-
|取得借款收到的现金|||40,581,236,862||53,287,325,382||-||-
|收到其他与筹资活动有关的现金||五 (51)|-||2,233,338,088||-||-
|筹资活动现金流入小计|||41,138,458,102||58,536,696,660||49,861,240||3,008,733,190
|偿还债务支付的现金|||(66,878,971,703)||(90,468,088,413)||-||-
|分配股利或偿付利息所支付的现金|||(6,315,227,479)||(3,938,559,553)||(1,640,782,519)||(614,350,671)
|支付其他与筹资活动有关的现金||五 (51)|(413,756,507)||(679,820,599)||(58,593,400)||-
|筹资活动现金流出小计|||(73,607,955,689)||(95,086,468,565)||(1,699,375,919)||(614,350,671)
|筹资活动产生的现金流量净额|||(32,469,497,587)||(36,549,771,905)||(1,649,514,679)||2,394,382,519
|四、汇率变动对现金及现金等价物的影响|||25,401,270||74,144,829||-||-
|五、现金及现金等价物净增加 /（减少）额||五 (52)|4,886,879,509||(2,812,918,937)||243,017,785||83,502,614
|加：年初现金及现金等价物余额||五 (52)|30,062,906,482||32,875,825,419||266,645,224||183,142,610
|六、年末现金及现金等价物余额||五 (52)|34,949,785,991||30,062,906,482||509,663,009||266,645,224
六||五|3||2||18||1|
