page|135
项目|附注|2021 年度|2020 年度
一、营业总收入||1,254,053,101.56|948,032,712.66
其中：营业收入|七、61|1,254,053,101.56|948,032,712.66
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,176,589,498.26|889,670,798.63
其中：营业成本|七、61|1,010,052,589.45|748,965,907.27
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、62|5,358,486.90|4,753,706.40
销售费用|七、63|63,287,625.80|54,881,828.95
管理费用|七、64|42,339,638.59|35,110,718.94
研发费用|七、65|37,151,919.34|28,372,690.79
财务费用|七、66|18,399,238.18|17,585,946.28
其中：利息费用||12,519,138.82|10,950,413.89
利息收入||367,860.83|351,659.42
加：其他收益|七、67|1,984,357.82|2,009,481.05
投资收益（损失以“－”号填列）|七、68|-37,520.29|1,058,308.90
其中：对联营企业和合营企业的投资收益||-311,379.90|103,184.82
page|136
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|七、71|-12,175,098.80|-7,645,191.43
资产减值损失（损失以“-”号填列）|七、72|161,596.38|549,773.79
资产处置收益（损失以“－”号填列）|七、73|-26,008.33|-136,436.64
三、营业利润（亏损以“－”号填列）||67,370,930.08|54,197,849.70
加：营业外收入|七、74|2,326,636.80|2,200,065.45
减：营业外支出|七、75|235,595.31|435,739.72
四、利润总额（亏损总额以“－”号填列）||69,461,971.57|55,962,175.43
减：所得税费用|七、76|9,124,070.43|8,531,564.57
五、净利润（净亏损以“－”号填列）||60,337,901.14|47,430,610.86
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||60,337,901.14|47,430,610.86
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||59,780,941.55|47,484,629.78
2.少数股东损益（净亏损以“-”号填列）||556,959.59|-54,018.92
六、其他综合收益的税后净额||1,145,195.82|609,781.80
（一）归属母公司所有者的其他综合收益的税后净额||992,560.96|989,399.34
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||992,560.96|989,399.34
page|137
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额||310,228.36|-220,401.16
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备||615,863.31|1,796,582.99
（6）外币财务报表折算差额||66,469.29|-586,782.49
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||152,634.86|-379,617.54
七、综合收益总额||61,483,096.96|48,040,392.66
（一）归属于母公司所有者的综合收益总额||60,773,502.51|48,474,029.12
（二）归属于少数股东的综合收益总额||709,594.45|-433,636.46
八、每股收益：|||
（一）基本每股收益(元/股)||0.44|0.41
（二）稀释每股收益(元/股)||0.44|0.41
