page|79
项目|附注七|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,541,303,418.96|4,895,616,618.54
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
page|80
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||251,017,132.80|264,052,710.05
收到其他与经营活动有关的现金|76|143,057,651.31|99,128,095.70
经营活动现金流入小计||4,935,378,203.07|5,258,797,424.29
购买商品、接受劳务支付的现金||3,870,556,266.94|4,002,406,098.94
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||480,145,970.71|497,729,594.16
支付的各项税费||200,050,854.47|266,966,470.41
支付其他与经营活动有关的现金|76|581,380,226.62|526,517,252.10
经营活动现金流出小计||5,132,133,318.74|5,293,619,415.61
经营活动产生的现金流量净额||-196,755,115.67|-34,821,991.32
二、投资活动产生的现金流量：|||
收回投资收到的现金|||4,806,714.95
取得投资收益收到的现金|||3,660,000.00
处置固定资产、无形资产和其他长期资产收回的现金净额||6,770,391.83|36,820,177.67
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||8,843,524.27
投资活动现金流入小计||6,770,391.83|54,130,416.89
购建固定资产、无形资产和其他长期资产支付的现金||37,665,779.74|128,554,306.53
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||37,665,779.74|128,554,306.53
投资活动产生的现金流量净额||-30,895,387.91|-74,423,889.64
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,194,974,699.73|769,874,973.44
收到其他与筹资活动有关的现金|76|19,334,721.96|4,190,241.16
page|81
筹资活动现金流入小计||1,214,309,421.69|774,065,214.60
偿还债务支付的现金||1,055,732,736.15|621,714,185.61
分配股利、利润或偿付利息支付的现金||27,815,144.52|56,441,770.33
其中：子公司支付给少数股东的股利、利润||1,289,052.54|
支付其他与筹资活动有关的现金|76|15,214,949.53|19,334,721.96
筹资活动现金流出小计||1,098,762,830.20|697,490,677.90
筹资活动产生的现金流量净额||115,546,591.49|76,574,536.70
四、汇率变动对现金及现金等价物的影响||1,970,680.43|-4,072,871.16
五、现金及现金等价物净增加额||-110,133,231.66|-36,744,215.42
加：期初现金及现金等价物余额||415,191,393.17|451,935,608.59
六、期末现金及现金等价物余额||305,058,161.51|415,191,393.17
