page|76
项目|附注五|2019 年度|2018 年度
一、营业总收入|59|4,094,571,610.27|4,362,266,118.66
其中：营业收入||4,094,571,610.27|4,362,266,118.66
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|59|4,084,400,015.45|4,312,656,867.13
其中：营业成本||3,026,612,869.38|3,234,808,921.95
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|60|17,094,740.24|20,182,886.60
销售费用|61|793,152,907.09|771,908,997.48
管理费用|62|190,388,895.60|232,004,179.86
研发费用|63|33,182,067.98|32,008,415.79
财务费用|64|23,968,535.16|21,743,465.45
其中：利息费用||26,424,669.33|17,870,034.27
利息收入||2,126,469.31|2,218,371.67
加：其他收益|65|29,436,228.73|16,611,896.94
投资收益（损失以“－”号填列）|66||4,651,114.95
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
page|77
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|69|-5,104,298.31|
资产减值损失（损失以“-”号填列）|70|-7,437,223.29|-40,041,875.84
资产处置收益（损失以“－”号填列）|71|10,530,011.53|36,591,681.11
三、营业利润（亏损以“－”号填列）||37,596,313.48|67,422,068.69
加：营业外收入|72|999,163.72|217,076.00
减：营业外支出|73|1,439,722.74|3,050,776.30
四、利润总额（亏损总额以“－”号填列）||37,155,754.46|64,588,368.39
减：所得税费用|74|16,795,928.71|25,822,074.89
五、净利润（净亏损以“－”号填列）||20,359,825.75|38,766,293.50
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||20,359,825.75|38,766,293.50
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||19,149,672.61|37,672,923.37
2.少数股东损益（净亏损以“-”号填列）||1,210,153.14|1,093,370.13
六、其他综合收益的税后净额||-1,080,412.18|-3,936,209.59
（一）归属母公司所有者的其他综合收益的税后净额||-1,080,412.18|-3,936,209.59
1．不能重分类进损益的其他综合收益||-287,871.65|
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-287,871.65|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-792,540.53|-3,936,209.59
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||-3,616,285.53
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套|||
page|78
期损益的有效部分）|||
（8）外币财务报表折算差额||-792,540.53|-319,924.06
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||19,279,413.57|34,830,083.91
（一）归属于母公司所有者的综合收益总额||18,069,260.43|33,736,713.78
（二）归属于少数股东的综合收益总额||1,210,153.14|1,093,370.13
八、每股收益：|||
（一）基本每股收益(元/股)||0.05|0.09
（二）稀释每股收益(元/股)||0.05|0.09
