page|71
项目|附注七|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|1|331,494,192.59|436,981,082.62
结算备付金|||
拆出资金|||
page|72
交易性金融资产|||
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|||
应收票据|4|0.00|5,037,417.43
应收账款|5|379,059,050.42|355,794,032.92
应收款项融资|6|2,714,571.00|
预付款项|7|549,766,969.02|382,305,262.54
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|8|170,690,106.53|157,641,707.82
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|9|1,001,215,592.90|1,076,707,464.45
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|12|41,773,194.16|45,307,440.47
流动资产合计||2,476,713,676.62|2,459,774,408.25
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||1,656,592.17
其他债权投资|||
持有至到期投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|17|1,272,763.31|
其他非流动金融资产|||
投资性房地产|19|25,004,552.98|26,846,693.72
固定资产|20|374,987,813.55|386,856,637.36
在建工程|21|11,553,535.54|3,299,632.99
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|25|31,257,771.46|34,200,364.29
开发支出|||
商誉|||
长期待摊费用|28|36,953,165.23|35,176,174.52
递延所得税资产|29|1,055,680.06|402,503.71
其他非流动资产|||
非流动资产合计||482,085,282.13|488,438,598.76
资产总计||2,958,798,958.75|2,948,213,007.01
流动负债：|||
page|73
短期借款|31|564,605,412.48|425,093,683.14
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|34|110,196,680.92|32,634,146.35
应付账款|35|131,981,758.12|209,351,854.44
预收款项|36|151,250,229.80|254,070,356.82
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|37|12,301,769.58|18,134,653.77
应交税费|38|37,384,292.48|73,496,551.68
其他应付款|39|104,533,141.67|101,691,009.15
其中：应付利息|||371,188.41
应付股利||1,465,256.62|1,465,256.62
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|42|92,493.31|
流动负债合计||1,112,345,778.36|1,114,472,255.35
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|49|4,419,577.45|5,080,290.32
递延所得税负债|29|350,121.81|504,307.97
其他非流动负债|||
非流动负债合计||4,769,699.26|5,584,598.29
负债合计||1,117,115,477.62|1,120,056,853.64
所有者权益（或股东权益）：|||
实收资本（或股本）|51|424,861,597.00|424,861,597.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|53|932,797,168.08|932,797,168.08
减：库存股|||
其他综合收益|55|-619,357.40|461,054.78
page|74
专项储备|||
盈余公积|57|20,750,818.64|20,750,818.64
一般风险准备|||
未分配利润|58|444,881,879.30|430,315,517.71
归属于母公司所有者权益（或股东权益）合计||1,822,672,105.62|1,809,186,156.21
少数股东权益||19,011,375.51|18,969,997.16
所有者权益（或股东权益）合计||1,841,683,481.13|1,828,156,153.37
负债和所有者权益（或股东权益）总计||2,958,798,958.75|2,948,213,007.01
