page|68
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|七、1|3,013,572,217.72|2,060,136,218.46
结算备付金|||
拆出资金|||
交易性金融资产|||
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|||
应收票据|||
应收账款|七、5|252,692,831.98|335,620,397.13
应收款项融资|||
预付款项|七、7|25,361,094.27|17,269,065.70
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|65,570,512.56|58,412,471.53
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|23,753,071,605.98|21,438,532,001.96
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、12|269,740,789.87|261,655,866.04
流动资产合计||27,380,009,052.38|24,171,626,020.82
非流动资产：|||
发放贷款和垫款|||29,205,250.00
债权投资|七、13|106,134,930.52|
可供出售金融资产|七、15|0.00|399,596,000.00
其他债权投资|||
持有至到期投资|||
长期应收款|七、16|1,108,600,000.00|223,311,102.69
长期股权投资|七、17|253,976.21|1,252,932.47
其他权益工具投资|七、18|376,413,600.00|0.00
page|69
其他非流动金融资产|||
投资性房地产|七、20|2,582,106,930.00|2,483,179,890.00
固定资产|七、21|162,987,778.95|176,264,926.61
在建工程|七、22|549,189,260.47|1,879,637,854.90
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七、26|1,806,719.23|1,870,756.99
开发支出|||
商誉|||
长期待摊费用|七、29|49,756,404.77|13,893,923.50
递延所得税资产|七、30|345,896,189.25|288,922,220.51
其他非流动资产|||
非流动资产合计||5,283,145,789.40|5,497,134,857.67
资产总计||32,663,154,841.78|29,668,760,878.49
流动负债：|||
短期借款|七、32|75,800,000.00|200,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|||
应付账款|七、36|1,219,681,540.88|956,499,178.56
预收款项|七、37|2,185,567,063.96|447,797,522.41
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、38|47,427,563.49|43,651,237.15
应交税费|七、39|249,253,535.10|262,514,655.49
其他应付款|七、40|2,208,659,965.14|2,370,534,088.63
其中：应付利息||276,894,003.23|255,604,019.74
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、42|2,733,652,750.00|1,607,671,675.44
page|70
其他流动负债|||
流动负债合计||8,720,042,418.57|5,888,668,357.68
非流动负债：|||
保险合同准备金|||
长期借款|七、44|7,921,279,171.22|7,621,423,571.22
应付债券|七、45|6,973,123,794.81|6,774,274,751.22
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|七、47|126,786,382.05|117,879,644.20
长期应付职工薪酬|||
预计负债|||
递延收益|七、50|28,135,063.28|28,970,912.24
递延所得税负债||222,478,706.83|182,413,321.15
其他非流动负债|七、51|807,500,000.00|850,000,000.00
非流动负债合计||16,079,303,118.19|15,574,962,200.03
负债合计||24,799,345,536.76|21,463,630,557.71
所有者权益（或股东权益）：|||
实收资本（或股本）|七、52|2,061,091,430.00|2,060,121,570.00
其他权益工具|七、53|0.00|77,284,059.70
其中：优先股|||
永续债|||
资本公积|七、54|1,187,791,598.54|1,098,414,622.76
减：库存股|七、55|986,178,720.01|47,684,328.13
其他综合收益|七、56|605,917,334.10|549,417,455.46
专项储备|||
盈余公积|七、58|332,374,160.35|332,281,477.90
一般风险准备|七、59|938,015.00|444,750.00
未分配利润|七、60|4,652,236,495.26|4,125,383,863.12
归属于母公司所有者权益（或股东权益）合计||7,854,170,313.24|8,195,663,470.81
少数股东权益||9,638,991.78|9,466,849.97
所有者权益（或股东权益）合计||7,863,809,305.02|8,205,130,320.78
负债和所有者权益（或股东权益）总计||32,663,154,841.78|29,668,760,878.49
