page|81
项            目|附注|本期数|上期数
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||29,299,347,889.40|24,473,918,536.53
收到的税费返还||-|-
收到其他与经营活动有关的现金|六、46|3,527,784,328.57|2,220,979,430.55
经营活动现金流入小计||32,827,132,217.97|26,694,897,967.08
购买商品、接受劳务支付的现金||17,320,857,449.78|27,745,312,374.73
支付给职工以及为职工支付的现金||1,034,402,597.62|998,134,388.56
支付的各项税费||5,552,387,196.99|3,181,546,877.62
支付其他与经营活动有关的现金|六、46|6,259,190,095.67|3,799,037,558.88
经营活动现金流出小计||30,166,837,340.06|35,724,031,199.79
经营活动产生的现金流量净额||2,660,294,877.91|-9,029,133,232.71
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,207,207.00|80,000,000.00
取得投资收益收到的现金||9,529,699.71|8,469,334.82
处置固定资产、无形资产和其他长期资产收回的       现金净额||240,304.21|3,302,752.32
处置子公司及其他营业单位收到的现金净额||4,875,308.02|-
收到其他与投资活动有关的现金|六、46|-|696,925,852.80
投资活动现金流入小计||15,852,518.94|788,697,939.94
购置固定资产、无形资产和其他长期资产支付的现金||94,929,319.05|92,939,153.34
投资支付的现金||771,198,359.00|417,000,000.00
取得子公司及其他营业单位支付的现金净额||-|2,723,855,393.79
支付其他与投资活动有关的现金||-|-
投资活动现金流出小计||866,127,678.05|3,233,794,547.13
投资活动产生的现金流量净额||-850,275,159.11|-2,445,096,607.19
三、筹资活动产生的现金流量：|||-
吸收投资收到的现金||34,500,000.00|817,730,000.00
其中：子公司吸收少数股东投资收到的现金||34,500,000.00|817,730,000.00
取得借款收到的现金||23,040,407,457.62|25,915,147,014.68
收到其他与筹资活动有关的现金|六、46|-|4,900,000.00
筹资活动现金流入小计||23,074,907,457.62|26,737,777,014.68
偿还债务支付的现金||18,940,712,376.64|7,951,399,585.13
page|82
分配股利、利润或偿付利息支付的现金||6,296,316,742.69|5,154,129,108.71
其中：子公司支付少数股东的股利、利润||1,098,113,503.32|376,984,938.62
支付其他与筹资活动有关的现金|六、46|550,200,000.00|895,000,000.00
筹资活动现金流出小计||25,787,229,119.33|14,000,528,693.84
筹资活动产生的现金流量净额||-2,712,321,661.71|12,737,248,320.84
四、汇率变动对现金及现金等价物的影响||159,368.76|134,079.27
五、现金及现金等价物净增加额||-902,142,574.15|1,263,152,560.21
加：期初现金及现金等价物余额||11,815,985,549.05|10,552,832,988.84
六、期末现金及现金等价物余额||10,913,842,974.90|11,815,985,549.05
