page|79
项      目|附注|本期数|上期数
一、营业收入|六、32|26,184,015,959.15|22,113,354,258.97
减：营业成本|六、32|15,669,976,310.74|11,366,468,321.08
税金及附加|六、33|2,323,219,341.43|2,666,467,374.97
销售费用|六、34|921,634,378.38|805,952,466.38
管理费用|六、35|605,445,037.55|502,336,598.74
研发费用||-|
财务费用|六、36|1,564,732,460.25|1,488,781,923.49
其中：利息费用|六、36|2,076,252,853.44|1,785,879,892.10
利息收入|六、36|527,735,173.99|304,035,487.93
加：其他收益|六、37|20,165,518.01|113,779,332.66
投资收益(损失以“-”号填列）|六、38|-25,611,071.10|-30,405,774.35
其中：对联营企业和合营企业的投资收益|六、38|-26,994,601.18|-38,818,349.53
以摊余成本计量的金融资产终止确认收益（损失以“-”号填列）|||
公允价值变动收益(损失以“-”号填列）|六、39|682,947,765.42|23,656,461.28
信用减值损失(损失以“-”号填列）|六、40|-20,636,632.21|
资产减值损失(损失以“-”号填列）|六、41|-|-7,664,286.83
资产处置收益(损失以“-”号填列）|六、42|50,526.58|1,584,735.05
二、营业利润(亏损以“-”号填列）||5,755,924,537.50|5,384,298,042.12
加：营业外收入|六、43|50,040,138.61|176,840,622.17
减：营业外支出|六、44|88,721,370.30|19,681,605.50
三、利润总额(亏损总额以“-”号填列）||5,717,243,305.81|5,541,457,058.79
减：所得税费用|六、45|1,596,590,451.06|1,503,969,619.02
四、净利润(净亏损以“-”号填列）||4,120,652,854.75|4,037,487,439.77
（一）按经营持续性分类：|||
其中：持续经营净利润（净亏损以“-”号填列）||4,120,652,854.75|4,037,487,439.77
终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类：|||
其中：  归属于母公司股东的净利润（净亏损以“-”号填列）||3,441,864,333.90|3,268,570,827.61
少数股东损益（净亏损以“-”号填列）||678,788,520.85|768,916,612.16
五、其他综合收益的税后净额||16,666.60|34,097,671.58
归属于母公司股东的其他综合收益的税后净额||16,666.60|34,097,671.58
page|80
（一）不能重分类进损益的其他综合收益||-|-
1、权益法下不能转损益的其他综合收益|||
2、其他权益工具投资公允价值变动|||
（二）将重分类进损益的其他综合收益||16,666.60|34,097,671.58
1、权益法下可转损益的其他综合收益|||
2、其他债权投资公允价值变动|||
3、可供出售金融资产公允价值变动损益|||
4、金融资产重分类计入其他综合收益的金额|||
5、其他债权投资信用减值准备|||
6、外币财务报表折算差额||16,666.60|790,962.60
7、自用房地产或作为存货的房地产转换为以公允价值计量的投资性房地产在转换日公允价值大于账面价值部分||-|33,306,708.98
8、多次交易分步处置子公司股权构成一揽子交易的，丧失控制权之前各次交易处置价款与对应净资产账面价值份额的差额|||
归属于少数股东的其他综合收益的税后净额|||
六、综合收益总额||4,120,669,521.35|4,071,585,111.35
归属于母公司股东的综合收益总额||3,441,881,000.50|3,302,668,499.19
归属于少数股东的综合收益总额||678,788,520.85|768,916,612.16
七、每股收益|||
（一）基本每股收益||1.15|1.09
（二）稀释每股收益||1.15|1.09
