page|103
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||10,165,511,334.41|9,311,577,456.61
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||132,074,672.82|126,723,057.81
收到其他与经营活动有关的现金|（六十二）|861,814,330.93|438,784,719.95
经营活动现金流入小计||11,159,400,338.16|9,877,085,234.37
购买商品、接受劳务支付的现金||8,227,855,524.79|7,078,028,976.47
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||1,777,898,982.42|1,663,558,739.26
支付的各项税费||328,953,477.82|264,071,830.33
支付其他与经营活动有关的现金|（六十二）|715,538,538.01|799,003,441.46
经营活动现金流出小计||11,050,246,523.04|9,804,662,987.52
经营活动产生的现金流量净额||109,153,815.12|72,422,246.85
二、投资活动产生的现金流量|||
收回投资收到的现金||495,000,000.00|1,800,461,549.37
取得投资收益收到的现金||11,048,878.11|21,012,811.04
处置固定资产、无形资产和其他长期资产收回的现金净额||210,015,797.22|78,948,873.13
处置子公司及其他营业单位收到的现金净额|（六十三）|11,001,979.39|50,766,936.18
收到其他与投资活动有关的现金|||
投资活动现金流入小计||727,066,654.72|1,951,190,169.72
购建固定资产、无形资产和其他长期资产支付的现金||743,842,412.05|839,173,969.32
投资支付的现金||955,590,000.00|1,538,961,787.86
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（六十二）|125,379,381.10|81,246,980.01
投资活动现金流出小计||1,824,811,793.15|2,459,382,737.19
投资活动产生的现金流量净额||-1,097,745,138.43|-508,192,567.47
三、筹资活动产生的现金流量|||
吸收投资收到的现金|||34,000,000.00
其中：子公司吸收少数股东投资收到的现金|||24,000,000.00
取得借款收到的现金||5,805,694,852.64|3,495,636,715.46
收到其他与筹资活动有关的现金|（六十二）|50,000,000.00|46,980,000.00
筹资活动现金流入小计||5,855,694,852.64|3,576,616,715.46
偿还债务支付的现金||3,692,867,660.44|2,417,723,410.51
分配股利、利润或偿付利息支付的现金||370,549,681.62|339,886,240.29
其中：子公司支付给少数股东的股利、利润||13,141,450.12|3,433,696.19
支付其他与筹资活动有关的现金|（六十二）|201,340,065.06|121,134,131.59
筹资活动现金流出小计||4,264,757,407.12|2,878,743,782.39
筹资活动产生的现金流量净额||1,590,937,445.52|697,872,933.07
四、汇率变动对现金及现金等价物的影响||-6,035,445.79|16,006,154.15
五、现金及现金等价物净增加额||596,310,676.42|278,108,766.60
加：期初现金及现金等价物余额||3,221,773,605.00|2,943,664,838.40
六、期末现金及现金等价物余额||3,818,084,281.42|3,221,773,605.00
