page|101
项目|附注五|本期金额|上期金额
一、营业总收入||10,843,784,576.71|10,009,483,496.74
其中：营业收入|（四十六）|10,843,784,576.71|10,009,483,496.74
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||10,278,010,419.54|9,547,874,281.64
其中：营业成本|（四十六）|8,169,123,797.46|7,791,560,120.92
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（四十七）|74,125,242.07|73,435,748.64
销售费用|（四十八）|490,627,552.30|377,184,892.46
管理费用|（四十九）|587,422,110.46|604,683,004.58
研发费用|（五十）|849,138,654.98|658,444,267.32
财务费用|（五十一）|107,573,062.27|42,566,247.72
其中：利息费用||142,666,988.47|80,751,865.69
利息收入||36,592,430.39|36,884,298.96
加：其他收益|（五十二）|599,921,753.43|182,492,770.47
投资收益（损失以“-”号填列）|（五十三）|8,827,041.99|812,413,667.15
其中：对联营企业和合营企业的投资收益||10,463,411.16|-2,658,316.54
以摊余成本计量的金融资产终止确认收益||-16,485,645.87|
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|（五十四）|279,371,153.85|148,661,957.96
信用减值损失（损失以“-”号填列）|（五十五）|-30,818,930.87|
资产减值损失（损失以“-”号填列）|（五十六）|-76,174,647.54|-95,483,170.08
资产处置收益（损失以“-”号填列）|（五十七）|159,137.94|-2,295,823.91
三、营业利润（亏损以“-”号填列）||1,347,059,665.97|1,507,398,616.69
加：营业外收入|（五十八）|14,621,814.51|3,853,351.86
减：营业外支出|（五十九）|11,400,182.44|10,988,926.81
四、利润总额（亏损总额以“-”号填列）||1,350,281,298.04|1,500,263,041.74
减：所得税费用|（六十）|184,417,419.63|295,346,345.59
五、净利润（净亏损以“-”号填列）||1,165,863,878.41|1,204,916,696.15
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||1,165,863,878.41|1,204,916,696.15
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||1,114,993,660.75|1,120,739,247.50
2．少数股东损益（净亏损以“-”号填列）||50,870,217.66|84,177,448.65
六、其他综合收益的税后净额|（四十二）|394,191,425.30|-1,125,607,167.87
归属于母公司所有者的其他综合收益的税后净额||375,061,437.80|-1,125,949,284.48
（一）不能重分类进损益的其他综合收益||8,850,541.00|
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益|||
3．其他权益工具投资公允价值变动||8,850,541.00|
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||366,210,896.80|-1,125,949,284.48
1．权益法下可转损益的其他综合收益|||
2．其他债权投资公允价值变动||-253,487.64|
3．可供出售金融资产公允价值变动损益|||-1,133,449,602.53
4．金融资产重分类计入其他综合收益的金额|||
5．持有至到期投资重分类为可供出售金融资产损益|||
6．其他债权投资信用减值准备|||
7．现金流量套期储备（现金流量套期损益的有效部分）|||
8．外币财务报表折算差额||-600,646.33|2,793,394.88
9．其他||367,065,030.77|4,706,923.17
归属于少数股东的其他综合收益的税后净额||19,129,987.50|342,116.61
七、综合收益总额||1,560,055,303.71|79,309,528.28
归属于母公司所有者的综合收益总额||1,490,055,098.55|-5,210,036.98
归属于少数股东的综合收益总额||70,000,205.16|84,519,565.26
八、每股收益：|（六十一）||
（一）基本每股收益（元/股）||0.380|0.381
（二）稀释每股收益（元/股）||0.380|0.381
