page|66
项目|附注六|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||862,054,726.39|830,253,183.26
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||-|1,608,138.20
收到其他与经营活动有关的现金|78|69,976,807.66|76,587,999.08
经营活动现金流入小计||932,031,534.05|908,449,320.54
购买商品、接受劳务支付的现金||179,965,321.54|229,795,590.25
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||343,123,407.37|279,165,390.22
支付的各项税费||29,410,079.75|42,737,084.70
支付其他与经营活动有关的现金|78|228,125,743.00|378,723,651.27
经营活动现金流出小计||780,624,551.66|930,421,716.44
经营活动产生的现金流量净额||151,406,982.39|-21,972,395.90
二、投资活动产生的现金流量：|||
收回投资收到的现金||299,540,823.83|103,985,174.96
取得投资收益收到的现金||3,962,218.28|4,180,000.00
处置固定资产、无形资产和其他长期资产收回的现金净额||77,542.75|113,095.77
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||303,580,584.86|108,278,270.73
购建固定资产、无形资产和其他长期资产支付的现金||22,589,659.47|13,587,742.27
page|67
投资支付的现金||39,416,250.00|204,934,245.83
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||62,005,909.47|218,521,988.10
投资活动产生的现金流量净额||241,574,675.39|-110,243,717.37
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||166,958,880.00|-
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||166,958,880.00|-
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金|||
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|78|39,127,851.56|-
筹资活动现金流出小计||39,127,851.56|-
筹资活动产生的现金流量净额||127,831,028.44|-
四、汇率变动对现金及现金等价物的影响||-11,355,921.35|-10,376,560.74
五、现金及现金等价物净增加额||509,456,764.87|-142,592,674.01
加：期初现金及现金等价物余额||1,106,796,250.42|1,249,388,924.43
六、期末现金及现金等价物余额||1,616,253,015.29|1,106,796,250.42
