page|63
项目|附注六|2021 年度|2020 年度
一、营业总收入||818,661,643.77|707,762,419.19
其中：营业收入|61|818,661,643.77|707,762,419.19
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||803,282,832.76|634,021,657.13
其中：营业成本|61|278,904,265.07|249,626,678.34
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|3,397,113.28|3,077,776.14
销售费用|63|145,119,115.99|114,429,940.69
管理费用|64|211,834,034.77|172,181,216.41
研发费用|65|194,005,895.94|124,624,997.35
财务费用|66|-29,977,592.29|-29,918,951.80
其中：利息费用||3,807,197.32|-
利息收入||34,218,939.93|30,254,858.18
加：其他收益|67|6,660,375.19|6,368,488.21
投资收益（损失以“－”号填列）|68|4,004,763.86|4,377,121.62
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|70|718,896.19|512,782.93
信用减值损失（损失以“-”号填列）|71|-744,369.75|340,391.96
page|64
资产减值损失（损失以“-”号填列）||-|-
资产处置收益（损失以“－”号填列）|73|-1,410.14|-14,986.65
三、营业利润（亏损以“－”号填列）||26,017,066.36|85,324,560.13
加：营业外收入|74|237,517.89|29,397.84
减：营业外支出|75|107,400.00|-693,323.05
四、利润总额（亏损总额以“－”号填列）||26,147,184.25|86,047,281.02
减：所得税费用|76|10,097,653.16|13,567,187.89
五、净利润（净亏损以“－”号填列）||16,049,531.09|72,480,093.13
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||16,049,531.09|72,480,093.13
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||16,049,531.09|72,480,093.13
2.少数股东损益（净亏损以“-”号填列）||-|-
六、其他综合收益的税后净额|57|-15,232,125.57|-23,233,812.88
（一）归属母公司所有者的其他综合收益的税后净额||-15,232,125.57|-23,233,812.88
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-15,232,125.57|-23,233,812.88
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-15,232,125.57|-23,233,812.88
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||817,405.52|49,246,280.25
（一）归属于母公司所有者的综合收益总额||817,405.52|49,246,280.25
（二）归属于少数股东的综合收益总额|||
八、每股收益：|||
（一）基本每股收益(元/股)||0.008|0.036
（二）稀释每股收益(元/股)||0.008|0.036
