page|83
项目|附 注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||15,521,861,547.00|18,599,053,511.43
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
page|84
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||645,014,780.09|699,248,401.42
收到其他与经营活动有关的现金||714,373,735.33|821,098,495.48
经营活动现金流入小计||16,881,250,062.42|20,119,400,408.33
购买商品、接受劳务支付的现金||13,103,430,329.71|16,004,573,852.46
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||2,421,633,751.98|2,569,864,598.12
支付的各项税费||394,893,853.85|395,201,447.94
支付其他与经营活动有关的现金||754,248,239.61|913,903,632.37
经营活动现金流出小计||16,674,206,175.15|19,883,543,530.89
经营活动产生的现金流量净额||207,043,887.27|235,856,877.44
二、投资活动产生的现金流量：|||
收回投资收到的现金||933,142,512.11|1,418,705,390.00
取得投资收益收到的现金||97,610,293.77|119,984,042.56
处置固定资产、无形资产和其他长期资产收回的现金净额||6,986,109.60|17,903,414.16
处置子公司及其他营业单位收到的现金净额||712,931,029.69|130,589,460.92
收到其他与投资活动有关的现金|||14,358,247.54
投资活动现金流入小计||1,750,669,945.17|1,701,540,555.18
购建固定资产、无形资产和其他长期资产支付的现金||695,068,593.07|817,000,085.90
投资支付的现金||943,970,975.00|1,447,635,490.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||2,172,930.00|
投资活动现金流出小计||1,641,212,498.07|2,264,635,575.90
投资活动产生的现金流量净额||109,457,447.10|-563,095,020.72
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||721,298,970.00
其中：子公司吸收少数股东投资收到的现金|||2,533,560.00
取得借款收到的现金||4,933,544,483.45|2,748,675,099.18
收到其他与筹资活动有关的现金||14,106,775.72|188,522,176.41
筹资活动现金流入小计||4,947,651,259.17|3,658,496,245.59
偿还债务支付的现金||5,167,430,830.78|3,263,029,843.15
分配股利、利润或偿付利息支付的现金||185,564,035.54|266,955,297.92
其中：子公司支付给少数股东的股利、利润||5,834,996.07|9,497,510.62
支付其他与筹资活动有关的现金||50,477,769.40|40,841,898.29
page|85
筹资活动现金流出小计||5,403,472,635.72|3,570,827,039.36
筹资活动产生的现金流量净额||-455,821,376.55|87,669,206.23
四、汇率变动对现金及现金等价物的影响||13,672,967.38|3,700,433.23
五、现金及现金等价物净增加额||-125,647,074.80|-235,868,503.82
加：期初现金及现金等价物余额||1,303,235,783.19|1,539,104,287.01
六、期末现金及现金等价物余额||1,177,588,708.39|1,303,235,783.19
