page|105
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||751,039,318.93|797,761,226.04
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||36,161,729.88|31,663,850.83
收到其他与经营活动有关的现金||83,405,845.63|74,436,185.44
经营活动现金流入小计||870,606,894.44|903,861,262.31
购买商品、接受劳务支付的现金||413,755,180.94|445,868,499.32
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||224,057,522.21|180,899,265.56
支付的各项税费||154,599,207.05|136,952,800.10
支付其他与经营活动有关的现金||88,905,530.57|73,231,374.47
经营活动现金流出小计||881,317,440.77|836,951,939.45
经营活动产生的现金流量净额||-10,710,546.33|66,909,322.86
二、投资活动产生的现金流量：|||
收回投资收到的现金||2,045,000,000.00|1,222,000,000.00
取得投资收益收到的现金||21,407,801.40|15,432,617.24
处置固定资产、无形资产和其他长期资产收回的现金净额||707,733.21|451,100.00
page|106
处置子公司及其他营业单位收到的现金净额||-8,666,193.83|
收到其他与投资活动有关的现金|||
投资活动现金流入小计||2,058,449,340.78|1,237,883,717.24
购建固定资产、无形资产和其他长期资产支付的现金||206,950,673.43|254,753,260.92
投资支付的现金||2,621,000,000.00|1,002,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||2,827,950,673.43|1,256,753,260.92
投资活动产生的现金流量净额||-769,501,332.65|-18,869,543.68
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||716,848,007.94|15,108,000.00
其中：子公司吸收少数股东投资收到的现金||16,110,243.72|15,108,000.00
取得借款收到的现金||233,244,123.71|158,671,111.12
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||950,092,131.65|173,779,111.12
偿还债务支付的现金||100,855,197.22|110,000,000.00
分配股利、利润或偿付利息支付的现金||56,277,872.17|26,430,090.66
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||29,646,497.20|1,468,600.00
筹资活动现金流出小计||186,779,566.59|137,898,690.66
筹资活动产生的现金流量净额||763,312,565.06|35,880,420.46
四、汇率变动对现金及现金等价物的影响||-514,529.18|-640,311.70
五、现金及现金等价物净增加额||-17,413,843.10|83,279,887.94
加：期初现金及现金等价物余额||326,785,562.17|243,505,674.23
六、期末现金及现金等价物余额||309,371,719.07|326,785,562.17
