page|70
员工地域分布情况|||
||2020 年 12 月 31 日|
|在岗员工数量（人）|占比（%）|
总行|11,777||2.6
长江三角洲地区|63,525||13.8
珠江三角洲地区|50,590||11.0
环渤海地区|65,572||14.3
中部地区|94,187||20.5
东北地区|44,311||9.7
西部地区|119,637||26.1
境外分子行及代表处|732||0.2
综合化经营子公司和村镇银行|8,669||1.9
合计|459,000||100.0
员工学历结构|||
|2020 年 12 月 31 日||
|在岗员工数量（人）|占比（%）|
博士|549||0.1
硕士|31,547||6.9
本科|242,595||52.9
专科及职业技术学校|149,551||32.6
专科以下|34,758||7.6
合计|459,000||100.0
员工业务结构|||
|2020 年 12 月 31 日||
|在岗员工数量（人）|占比（%）|
管理人员|120,227||26.2
风险管理人员|16,418||3.6
财务人员|20,306||4.4
行政人员|16,900||3.7
营销人员|136,897||29.8
交易人员|413||0.1
科技人员|8,056||1.8
柜面人员|82,974||18.1
技能人员|26,747||5.8
其他|30,062||6.5
合计|459,000||100.0
