page|142
本集团|附注|2019年度|2018年度
一 、营业收入||232,472|212,654
利息收入|四 、35|367,453|348,864
利息支出|四 、35|(223,370)|(217,956)
利息净收入|四 、35|144,083|130,908
手续费及佣金收入|四 、36|47,669|44,673
手续费及佣金支出|四 、36|(4,044)|(3,436)
手续费及佣金净收入|四 、36|43,625|41,237
投资收益╱（损失）|四 、37|12,807|10,848
其中：对联营及合营企业的投资收益||414|227
以 摊余成本计量的金融资产终止确认产生的净损失||(281)|(132)
公允价值变动收益╱（损失）|四 、38|1,258|3,249
汇兑及汇率产品净收益╱（损失）|四 、39|2,629|3,636
保险业务收入||11,687|7,481
其他业务收入|四 、40|15,523|14,981
资产处置收益||287|15
其他收益||573|299
二 、营业支出||(144,324)|(126,134)
税金及附加|四 、41|(2,697)|(2,501)
业务及管理费|四 、42|(66,560)|(64,040)
信用减值损失|四 、43|(51,954)|(43,454)
其他资产减值损失|四 、44|(270)|(60)
保险业务支出||(11,432)|(6,722)
其他业务成本|四 、45|(11,411)|(9,357)
三 、营业利润||88,148|86,520
加：营业外收入|四 、46|385|401
减：营业外支出|四 、47|(333)|(854)
四 、利润总额||88,200|86,067
减：所得税费用|四 、48|(10,138)|(11,902)
五 、净利润||78,062|74,165
page|143
本集团|附注|2019年度|2018年度
六 、其他综合收益|四 、49|3,202|4,072
归属于母公司股东的其他综合收益的税后净额||3,133|3,831
以后会计期间不能重分类进损益的项目||(559)|31
重新计量设定受益计划净负债或净资产导致的变动||(20)|(25)
指 定以公允价值计量且其变动计入其他综合收益的权益|||
投资公允价值变动||(564)|70
企业自身信用风险公允价值变动||25|(14)
以后会计期间在满足规定条件时将重分类进损益的项目||3,692|3,800
以 公允价值计量且其变动计入其他综合收益的发放贷款和|||
垫款产生的（损失）╱利得||(713)|102
以 公允价值计量且其变动计入其他综合收益的债权投资产|||
生的利得||3,290|1,695
现金流量套期损益的有效部分||(9)|17
外币财务报表折算差额||1,106|1,968
其他||18|18
归属于少数股东的其他综合收益的税后净额||69|241
七 、综合收益总额||81,264|78,237
归属于母公司股东的综合收益||80,414|77,461
归属于少数股东的综合收益||850|776
八 、每股收益|||
基本每股收益（人民币元）|四 、50|1.00|0.96
稀释每股收益（人民币元）|四 、50|1.00|0.96
