page|85
项目|附注|2021 年度|2020 年度
一、营业总收入|七、61|1,724,073,704.74|1,433,403,177.47
其中：营业收入|七、61|1,724,073,704.74|1,433,403,177.47
利息收入|||
二、营业总成本||1,612,097,214.55|1,274,692,150.51
其中：营业成本|七、61|1,197,077,516.22|878,147,901.71
利息支出|||
税金及附加|七、62|6,535,503.96|5,502,179.01
销售费用|七、63|256,143,377.48|229,025,425.28
管理费用|七、64|118,184,091.84|113,185,163.56
研发费用|七、65|67,414,845.71|72,352,128.98
财务费用|七、66|-33,258,120.66|-23,520,648.03
其中：利息费用|||
利息收入||38,919,446.31|23,613,236.70
加：其他收益|七、67|79,270,261.70|59,997,995.24
|投资收益（损失以“－”号填列）  七、68|93,682,524.48|5,483,640.83
其中：对联营企业和合营企业的投资收益||-12,127,782.17|-14,213,969.67
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七、70|-17,301,016.78|8,935,127.94
|信用减值损失（损失以“-”号填列）  七、71|-47,683,641.97|-76,260,013.00
|资产减值损失（损失以“-”号填列）  七、72|-20,765,241.64|-5,696,399.46
资产处置收益（损失以“－”号填列）|七、73|-2,878.41|-80,102.07
三、营业利润（亏损以“－”号填列）||199,176,497.57|151,091,276.44
加：营业外收入|七、74|7,737,335.00|11,906,566.72
减：营业外支出|七、75|1,262,859.35|3,488,963.95
四、利润总额（亏损总额以“－”号填列）||205,650,973.22|159,508,879.21
减：所得税费用|七、76|-4,864,599.49|-5,432,519.05
五、净利润（净亏损以“－”号填列）||210,515,572.71|164,941,398.26
（一）按经营持续性分类|||
page|86
1.持续经营净利润（净亏损以“－”号填列）||210,515,572.71|164,941,398.26
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||210,515,572.71|164,941,398.26
2.少数股东损益（净亏损以“-”号填列）|||
六、其他综合收益的税后净额|七、77|19,883,032.74|-22,248,006.04
（一）归属母公司所有者的其他综合收益的税后净额||19,883,032.74|-22,248,006.04
1．不能重分类进损益的其他综合收益||21,434,320.00|-21,587,192.80
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益||-18,994.08|
（3）其他权益工具投资公允价值变动||21,453,314.08|-21,587,192.80
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-1,551,287.26|-660,813.24
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-1,551,287.26|-660,813.24
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||230,398,605.45|142,693,392.22
（一）归属于母公司所有者的综合收益总额||230,398,605.45|142,693,392.22
（二）归属于少数股东的综合收益总额|||
八、每股收益：|||
（一）基本每股收益(元/股)||0.4056|0.3178
（二）稀释每股收益(元/股)||0.4056|0.3178
