page|67
项目|附注六|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||933,695,194.44|704,324,782.73
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
page|68
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||1,043,090.26|599,498.90
收到其他与经营活动有关的现金|注释 78|47,692,010.81|118,347,555.60
经营活动现金流入小计||982,430,295.51|823,271,837.23
购买商品、接受劳务支付的现金||445,893,713.31|395,597,571.13
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||204,772,827.74|112,545,682.52
支付的各项税费||51,724,584.49|29,467,920.70
支付其他与经营活动有关的现金|注释 78|109,064,220.77|160,644,815.94
经营活动现金流出小计||811,455,346.31|698,255,990.29
经营活动产生的现金流量净额|注释 79|170,974,949.20|125,015,846.94
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,005,500,060.98|407,397,293.79
取得投资收益收到的现金|||129,177,845.31
处置固定资产、无形资产和其他长期资产收回的现金净额||3,507,716.21|3,446,852.81
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,009,007,777.19|540,021,991.91
购建固定资产、无形资产和其他长期资产支付的现金||48,530,633.82|7,486,971.37
投资支付的现金||1,189,023,243.81|732,667,513.07
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||279,850,040.42
支付其他与投资活动有关的现金|||9,042,759.81
投资活动现金流出小计||1,237,553,877.63|1,029,047,284.67
page|69
投资活动产生的现金流量净额||-228,546,100.44|-489,025,292.76
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||100,000,000.00
收到其他与筹资活动有关的现金|||7,461,678.45
筹资活动现金流入小计|||107,461,678.45
偿还债务支付的现金||40,800,000.00|
分配股利、利润或偿付利息支付的现金||60,271,804.61|37,958,908.58
其中：子公司支付给少数股东的股利、利润||9,449,143.49|
支付其他与筹资活动有关的现金|注释 78|22,641.50|
筹资活动现金流出小计||101,094,446.11|37,958,908.58
筹资活动产生的现金流量净额||-101,094,446.11|69,502,769.87
四、汇率变动对现金及现金等价物的影响||-14,809,630.17|3,937,308.02
五、现金及现金等价物净增加额||-173,475,227.52|-290,569,367.93
加：期初现金及现金等价物余额||1,066,038,063.46|1,356,607,431.39
六、期末现金及现金等价物余额||892,562,835.94|1,066,038,063.46
