page|71
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||336,991,329.51|431,617,956.02
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
page|72
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||28,425.15|
收到其他与经营活动有关的现金||106,270,888.13|10,210,260.23
经营活动现金流入小计||443,290,642.79|441,828,216.25
购买商品、接受劳务支付的现金||138,380,253.51|122,317,107.61
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||118,370,504.82|156,316,971.32
支付的各项税费||19,140,218.31|22,865,160.73
支付其他与经营活动有关的现金||125,396,838.82|160,847,060.54
经营活动现金流出小计||401,287,815.46|462,346,300.20
经营活动产生的现金流量净额||42,002,827.33|-20,518,083.95
二、投资活动产生的现金流量：|||
收回投资收到的现金|||120,000,000.00
取得投资收益收到的现金|||1,613,181.70
处置固定资产、无形资产和其他长期资产收回的现金净额||193,969.98|38,969.39
处置子公司及其他营业单位收到的现金净额|||16,584.84
收到其他与投资活动有关的现金||791,026.10|648,610.20
投资活动现金流入小计||984,996.08|122,317,346.13
购建固定资产、无形资产和其他长期资产支付的现金||13,071,321.45|36,467,500.10
投资支付的现金|||170,250,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||21,235.29|
投资活动现金流出小计||13,092,556.74|206,717,500.10
投资活动产生的现金流量净额||-12,107,560.66|-84,400,153.97
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||44,100.00|
其中：子公司吸收少数股东投资收到的现金||44,100.00|
取得借款收到的现金||27,646,405.27|
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||27,690,505.27|
偿还债务支付的现金||8,615,129.90|
分配股利、利润或偿付利息支付的现金||889,338.75|330,000.00
其中：子公司支付给少数股东的股利、利润||165,000.00|330,000.00
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||9,504,468.65|330,000.00
page|73
筹资活动产生的现金流量净额||18,186,036.62|-330,000.00
四、汇率变动对现金及现金等价物的影响||-726.18|-132,309.66
五、现金及现金等价物净增加额||48,080,577.11|-105,380,547.58
加：期初现金及现金等价物余额||91,213,353.42|196,593,901.00
六、期末现金及现金等价物余额||139,293,930.53|91,213,353.42
