page|91
项目|附注|2019 年度|2018 年度
一、营业总收入||12,164,080,973|11,741,480,164
其中：营业收入|七、61|12,164,080,973|11,741,480,164
利息收入|||
page|92
项目|附注|2019 年度|2018 年度
已赚保费|||
手续费及佣金收入|||
二、营业总成本||8,653,246,494|8,595,698,691
其中：营业成本|七、61|8,178,690,909|8,115,501,991
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、62|108,501,298|117,696,655
销售费用|七、63|36,990,125|21,041,094
管理费用|七、64|503,215,842|481,562,940
研发费用|七、65|33,764,127|39,728,196
财务费用|七、66|- 207,915,807|- 179,832,185
其中：利息费用||222,507,080|203,665,028
利息收入||502,162,922|423,674,785
加：其他收益|七、67|122,080,426|34,166,601
投资收益（损失以“－”号填列）|七、68|1,492,273,337|1,455,440,858
其中：对联营企业和合营企业的投资收益||1,381,207,816|1,287,921,477
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七、70|8,996,486|5,014,902
信用减值损失（损失以“-”号填列）|七、71|-19,714,764|43,063,759
资产减值损失（损失以“-”号填列）|七、72|-4,686,830|
资产处置收益（损失以“－”号填列）|七、73|3,453,170|40,545,867
三、营业利润（亏损以“－”号填列）||5,113,236,304|4,724,013,460
加：营业外收入|七、74|31,883,637|43,074,891
减：营业外支出|七、75|18,314,524|10,597,986
四、利润总额（亏损总额以“－”号填列）||5,126,805,417|4,756,490,365
减：所得税费用|七、76|994,203,437|912,964,017
五、净利润（净亏损以“－”号填列）||4,132,601,980|3,843,526,348
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||4,132,601,980|3,843,526,348
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||3,790,143,318|3,593,485,631
2.少数股东损益（净亏损以“-”号填列）||342,458,662|250,040,717
六、其他综合收益的税后净额|七、77|47,373,831|-145,620,731
（一）归属母公司所有者的其他综合收益的税后净额||48,974,484|-150,171,312
1．不能重分类进损益的其他综合收益||51,274,802|-162,847,800
page|93
项目|附注|2019 年度|2018 年度
（1）重新计量设定受益计划变动额||51,274,802|-162,847,800
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-2,300,318|12,676,488
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动||-2,300,318|12,676,488
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-1,600,653|4,550,581
七、综合收益总额||4,179,975,811|3,697,905,617
（一）归属于母公司所有者的综合收益总额||3,839,117,802|3,443,314,319
（二）归属于少数股东的综合收益总额||340,858,009|254,591,298
八、每股收益：|||
（一）基本每股收益(元/股)||0.59|0.60
（二）稀释每股收益(元/股)||0.59|0.60
