page|119
|2020 年 12 月 31 日合并及公司资产负债表||||
||（除特别注明外，金额单位为人民币百万元）|||
||2020 年|2019 年|2020 年|2019 年
||12 月 31 日|12 月 31 日|12 月 31 日|12 月 31 日
资产|附注|合并|合并|公司|公司
流动资产|||||
货币资金|7|145,950|110,665|42,787|6,636
应收账款|8|52,325|64,184|8,412|10,072
应收款项融资|9|8,076|7,016|2,830|2,538
预付款项|10|21,626|17,038|8,861|6,980
其他应收款|11|26,834|21,199|14,738|8,997
存货|12|128,539|181,921|77,813|117,757
持有待售资产|13|42,615|-|-|-
其他流动资产||60,802|64,890|44,614|47,565
流动资产合计||486,767|466,913|200,055|200,545
非流动资产|||||
其他权益工具投资|14|910|930|427|437
长期股权投资|15|250,698|102,165|451,677|402,584
固定资产|16|415,988|703,414|264,241|347,649
油气资产|17|813,888|831,814|598,665|599,230
在建工程|18|222,215|247,996|142,470|158,823
使用权资产|57|144,338|189,632|66,765|107,852
无形资产|19|86,101|84,832|65,841|64,530
商誉|20|8,125|42,808|30|-
长期待摊费用|21|11,869|10,258|8,980|8,198
递延所得税资产|34|11,364|24,259|2,008|14,725
其他非流动资产||36,137|28,169|13,524|10,571
非流动资产合计||2,001,633|2,266,277|1,614,628|1,714,599
资产总计||2,488,400|2,733,190|1,814,683|1,915,144
page|120
|2020 年 12 月 31 日合并及公司资产负债表（续）||||
||（除特别注明外，金额单位为人民币百万元）|||
||2020 年|2019 年|2020 年|2019 年
||12 月 31 日|12 月 31 日|12 月 31 日|12 月 31 日
负债及股东权益|附注|合并|合并|公司|公司
流动负债|||||
短期借款|23|41,354|70,497|25,923|66,027
应付票据|24|19,313|13,153|18,203|12,046
应付账款|25|220,318|260,102|99,276|102,780
合同负债|26|91,477|82,490|59,877|54,014
应付职工薪酬|27|8,649|10,169|6,559|7,931
应交税费|28|63,724|67,382|45,769|42,779
其他应付款|29|56,250|34,699|74,496|60,291
持有待售负债|13|9,956|-|-|-
一年内到期的非流动负债|30|81,769|92,879|64,745|36,799
其他流动负债||12,608|30,048|1,791|25,882
流动负债合计||605,418|661,419|396,639|408,549
非流动负债|||||
长期借款|31|160,140|174,411|68,829|110,717
应付债券|32|91,239|116,471|87,000|113,000
租赁负债|57|122,644|164,143|47,983|85,449
预计负债|33|114,819|137,935|81,941|95,643
递延所得税负债|34|16,390|21,418|-|-
其他非流动负债||10,865|12,815|5,496|6,511
非流动负债合计||516,097|627,193|291,249|411,320
负债合计||1,121,515|1,288,612|687,888|819,869
股东权益|||||
股本|35|183,021|183,021|183,021|183,021
资本公积|36|127,222|127,314|127,044|127,845
专项储备||10,810|12,443|4,708|6,513
其他综合收益|54|(32,128)|(27,756)|455|979
盈余公积|37|203,557|197,282|192,465|186,190
未分配利润|38|722,939|738,124|619,102|590,727
归属于母公司股东权益合计||1,215,421|1,230,428|1,126,795|1,095,275
少数股东权益|39|151,464|214,150|-|-
股东权益合计||1,366,885|1,444,578|1,126,795|1,095,275
负债及股东权益总计||2,488,400|2,733,190|1,814,683|1,915,144
page|121
|2020 年度合并及公司利润表||||
|（除特别注明外，金额单位为人民币百万元）||||
||2020 年|2019 年|2020 年|2019 年
项目|附注|合并|合并|公司|公司
营业收入|40|1,933,836|2,516,810|1,097,522|1,363,878
减：营业成本|40|(1,546,604)|(2,002,403)|(858,403)|(1,053,994)
税金及附加|41|(194,904)|(226,905)|(153,214)|(174,410)
销售费用|42|(71,476)|(74,108)|(49,707)|(50,879)
管理费用|43|(55,315)|(61,757)|(33,558)|(38,053)
研发费用|44|(15,746)|(15,666)|(11,748)|(11,635)
财务费用|45|(24,304)|(27,816)|(20,781)|(20,791)
其中：利息费用||26,528|30,409|20,484|20,834
利息收入||3,023|3,631|558|666
加：其他收益|46|9,889|11,267|6,976|8,392
投资收益|47|51,845|8,867|114,412|26,616
其中：对联营企业和合营企业的投资收益||3,533|8,229|5,314|4,108
信用减值（损失）/转回|48|(341)|1,378|(143)|1,461
资产减值损失|49|(23,520)|(14,712)|(13,110)|(7,267)
资产处置收益|50|1,423|565|1,302|589
营业利润||64,783|115,520|79,548|43,907
加：营业外收入|51(a)|4,109|4,971|3,206|4,242
减：营业外支出|51(b)|(12,823)|(17,278)|(7,526)|(11,845)
利润总额||56,069|103,213|75,228|36,304
减：所得税费用|52|(22,588)|(36,203)|(12,483)|(5,938)
净利润||33,481|67,010|62,745|30,366
按经营持续性分类：|||||
持续经营净利润||33,481|67,010|62,745|30,366
终止经营净利润||-|-|-|-
按所有权归属分类：|||||
归属于母公司股东的净利润||19,002|45,677|62,745|30,366
少数股东损益||14,479|21,333|-|-
其他综合收益的税后净额||(11,130)|8,930|(524)|474
归属于母公司股东的其他综合收益的税后净额||(4,372)|4,641|(524)|474
（一）不能重分类进损益的其他综合收益|||||
其他权益工具投资公允价值变动||(22)|96|(10)|40
（二）将重分类进损益的其他综合收益|||||
权益法下可转损益的其他综合收益||(441)|417|(514)|434
外币财务报表折算差额||(3,909)|4,128|-|-
归属于少数股东的其他综合收益的税后净额||(6,758)|4,289|-|-
综合收益总额||22,351|75,940|62,221|30,840
归属于：|||||
母公司股东||14,630|50,318|62,221|30,840
少数股东||7,721|25,622|-|-
每股收益|||||
基本每股收益（人民币元）|53|0.10|0.25|0.34|0.17
稀释每股收益（人民币元）|53|0.10|0.25|0.34|0.17
page|122
|2020 年度合并及公司现金流量表||||
|（除特别注明外，金额单位为人民币百万元）||||
||2020 年度|2019 年度|2020 年度|2019 年度
项目|附注|合并|合并|公司|公司
经营活动产生的现金流量|||||
销售商品、提供劳务收到的现金||2,193,695|2,865,719|1,232,032|1,545,934
收到其他与经营活动有关的现金||15,376|14,984|11,293|31,336
经营活动现金流入小计||2,209,071|2,880,703|1,243,325|1,577,270
购买商品、接受劳务支付的现金||(1,414,729)|(1,954,120)|(704,419)|(991,961)
支付给职工以及为职工支付的现金||(150,474)|(156,287)|(109,365)|(114,806)
支付的各项税费||(269,761)|(340,449)|(190,333)|(233,282)
支付其他与经营活动有关的现金||(55,532)|(70,237)|(47,658)|(40,755)
经营活动现金流出小计||(1,890,496)|(2,521,093)||(1,051,775)    (1,380,804)
经营活动产生的现金流量净额|56(a)|318,575|359,610|191,550|196,466
投资活动产生的现金流量|||||
收回投资收到的现金||3,633|15,081|16,936|15,015
取得投资收益所收到的现金||7,310|7,725|21,246|24,774
处置固定资产、油气资产、无形资产和其他|||||
长期资产收回的现金净额||1,269|2,088|726|1,882
处置子公司及其他营业单位收到的现金净额|56(d)|82,767|105|80,588|66
投资活动现金流入小计||94,979|24,999|119,496|41,737
购建固定资产、油气资产、无形资产和其他|||||
长期资产支付的现金||(256,727)|(326,762)|(167,375)|(228,513)
投资支付的现金||(20,238)|(31,185)|(23,053)|(24,801)
投资活动现金流出小计||(276,965)|(357,947)|(190,428)|(253,314)
投资活动使用的现金流量净额||(181,986)|(332,948)|(70,932)|(211,577)
筹资活动产生的现金流量|||||
吸收投资收到的现金||613|2,640|-|-
其中：子公司吸收少数股东投资收到的现金||613|2,640|-|-
取得借款收到的现金||989,492|836,458|306,501|344,651
筹资活动现金流入小计||990,105|839,098|306,501|344,651
偿还债务支付的现金||(1,017,662)|(785,751)|(344,847)|(284,931)
分配股利、利润或偿付利息支付的现金||(59,042)|(61,759)|(41,744)|(42,623)
其中：子公司支付给少数股东的股利、利润||(14,264)|(14,245)|-|-
子公司资本减少||(5)|(182)|-|-
支付其他与筹资活动有关的现金||(12,796)|(18,682)|(7,498)|(10,459)
筹资活动现金流出小计||(1,089,505)|(866,374)|(394,089)|(338,013)
筹资活动（使用）/产生的现金流量净额||(99,400)|(27,276)|(87,588)|6,638
汇率变动对现金及现金等价物的影响||(4,967)|1,069|-|-
现金及现金等价物净增加/（减少）额|56(b)|32,222|455|33,030|(8,473)
加：期初现金及现金等价物余额||86,409|85,954|4,636|13,109
期末现金及现金等价物余额|56(c)|118,631|86,409|37,666|4,636
