page|60
项目|附注五|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||39,834,442.07|38,348,734.59
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||13,040,727.34|
收到其他与经营活动有关的现金|（八十）|13,639,674.05|12,042,346.47
经营活动现金流入小计||66,514,843.46|50,391,081.06
购买商品、接受劳务支付的现金||198,809,582.91|37,944,750.45
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||37,717,953.30|27,001,283.83
支付的各项税费||14,341,215.40|11,536,569.71
支付其他与经营活动有关的现金|（八十）|27,056,191.56|16,110,812.43
经营活动现金流出小计||277,924,943.17|92,593,416.42
经营活动产生的现金流量净额||-211,410,099.71|-42,202,335.36
二、投资活动产生的现金流量：|||
收回投资收到的现金||302,503,448.84|90,873,692.11
取得投资收益收到的现金||82,256,432.36|111,492,193.84
处置固定资产、无形资产和其他长期资产收回的现金净额||1,156,883.81|461,488.00
page|61
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||385,916,765.01|202,827,373.95
购建固定资产、无形资产和其他长期资产支付的现金||54,116,791.90|16,574,447.83
投资支付的现金||200,123,344.68|200,436,973.05
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||254,240,136.58|217,011,420.88
投资活动产生的现金流量净额||131,676,628.43|-14,184,046.93
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||42,848,630.14|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||2,250,000.00
筹资活动现金流入小计||42,848,630.14|2,250,000.00
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||34,595,983.03|20,600,313.39
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||34,595,983.03|20,600,313.39
筹资活动产生的现金流量净额||8,252,647.11|-18,350,313.39
四、汇率变动对现金及现金等价物的影响||-278.73|-876.26
五、现金及现金等价物净增加额||-71,481,102.90|-74,737,571.94
加：期初现金及现金等价物余额||264,896,175.23|339,633,747.17
六、期末现金及现金等价物余额||193,415,072.33|264,896,175.23
