page|53
项目|附注五|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|（一）|193,415,072.33|264,896,175.23
结算备付金|||
拆出资金|||
交易性金融资产|（二）|155,796,075.04|207,321,456.28
衍生金融资产|||
应收票据|||
应收账款|（五）|3,225,858.32|2,365,880.61
应收款项融资|||
预付款项|（七）|1,555,661.00|96,806.60
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|（八）|25,018,203.52|4,160,268.18
其中：应收利息|||
应收股利||24,577,740.00|12,000.00
买入返售金融资产|||
存货|（九）|759,381,739.23|565,049,631.15
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|（十三）|10,382,948.76|2,816,713.77
流动资产合计||1,148,775,558.20|1,046,706,931.82
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|（十八）|1,228,918,488.28|1,622,744,085.82
其他非流动金融资产|（十九）|117,446,110.09|74,536,374.35
投资性房地产|（二十）|63,733,846.22|67,144,432.65
固定资产|（二十一）|21,111,610.95|65,803,667.12
在建工程|（二十二）|91,032,362.16|
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|（二十六）|56,897,295.51|57,659,875.11
开发支出|||
商誉|（二十八）||
长期待摊费用|||
page|54
递延所得税资产|（三十）|3,314,625.05|2,509,968.95
其他非流动资产|||
非流动资产合计||1,582,454,338.26|1,890,398,404.00
资产总计||2,731,229,896.46|2,937,105,335.82
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|||
应付账款|（三十六）|9,154,305.78|8,518,292.63
预收款项|（三十七）|1,362,393.43|4,122,905.78
合同负债|（三十八）|543,288.36|966,754.68
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|（三十九）|6,113,101.32|3,929,761.28
应交税费|（四十）|11,135,416.08|2,166,860.26
其他应付款|（四十一）|39,738,421.89|41,853,005.28
其中：应付利息|||9,255.82
应付股利||2,177,927.57|2,177,927.57
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|||
流动负债合计||68,046,926.86|61,557,579.91
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|||
递延所得税负债|（三十）|328,573,607.26|408,340,824.02
其他非流动负债|||
非流动负债合计||328,573,607.26|408,340,824.02
负债合计||396,620,534.12|469,898,403.93
所有者权益（或股东权益）：|||
实收资本（或股本）|（五十三）|686,677,113.00|686,677,113.00
其他权益工具|||
其中：优先股|||
page|55
永续债|||
资本公积|（五十五）|53,331,197.25|53,331,197.25
减：库存股|||
其他综合收益|（五十七）|896,776,325.05|1,191,344,903.87
专项储备|（五十八）|324,854.19|
盈余公积|（五十九）|162,875,107.76|156,060,707.68
一般风险准备|||
未分配利润|（六十）|400,614,256.08|287,841,809.55
归属于母公司所有者权益（或股东权益）合计||2,200,598,853.33|2,375,255,731.35
少数股东权益||134,010,509.01|91,951,200.54
所有者权益（或股东权益）合计||2,334,609,362.34|2,467,206,931.89
负债和所有者权益（或股东权益）总计||2,731,229,896.46|2,937,105,335.82
