page|95
||单位：元|币种：人民币
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||508,495,604.04|430,558,666.68
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|七、76|10,694,016.84|7,919,054.15
经营活动现金流入小计||519,189,620.88|438,477,720.83
购买商品、接受劳务支付的现金||209,921,706.59|169,680,492.10
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||50,688,655.42|52,901,316.97
支付的各项税费||57,409,438.13|63,621,457.29
支付其他与经营活动有关的现金|七、76|93,643,980.75|89,639,184.74
经营活动现金流出小计||411,663,780.89|375,842,451.10
经营活动产生的现金流量净额||107,525,839.99|62,635,269.73
二、投资活动产生的现金流量：|||
收回投资收到的现金||608,200,000.00|1,010,000,000.00
取得投资收益收到的现金||10,326,184.42|13,633,408.26
page|96
||陕西康惠制药股份有限公司 2019 年年度报告|
处置固定资产、无形资产和其他长期资|||
||39,781.55|5,884.62
产收回的现金净额|||
处置子公司及其他营业单位收到的现|||
金净额|||
收到其他与投资活动有关的现金|七、76|2,100,000.00|4,162,500.00
投资活动现金流入小计||620,665,965.97|1,027,801,792.88
购建固定资产、无形资产和其他长期资|||
||81,448,884.22|5,581,538.66
产支付的现金|||
投资支付的现金||602,452,700.00|1,059,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现|||
|||10,920,407.89
金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||683,901,584.22|1,075,501,946.55
投资活动产生的现金流量净额||-63,235,618.25|-47,700,153.67
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||2,450,000.00|3,600,000.00
其中：子公司吸收少数股东投资收到的|||
||2,450,000.00|3,600,000.00
现金|||
取得借款收到的现金||21,960,000.00|
收到其他与筹资活动有关的现金|七、76|1,709,884.80|3,803,624.19
筹资活动现金流入小计||26,119,884.80|7,403,624.19
偿还债务支付的现金||7,850,000.00|5,100,000.00
分配股利、利润或偿付利息支付的现金||11,742,797.90|21,175,576.40
其中：子公司支付给少数股东的股利、|||
利润|||
支付其他与筹资活动有关的现金|七、76|5,300,000.00|8,791,820.32
筹资活动现金流出小计||24,892,797.90|35,067,396.72
筹资活动产生的现金流量净额||1,227,086.90|-27,663,772.53
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||45,517,308.64|-12,728,656.47
加：期初现金及现金等价物余额||220,184,231.01|232,912,887.48
六、期末现金及现金等价物余额||265,701,539.65|220,184,231.01
