page|115
项目|附注五|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||995,202,651.06|887,469,308.39
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||5,532,957.51|2,233,651.65
收到其他与经营活动有关的现金|七、78|43,958,679.12|39,883,677.83
经营活动现金流入小计||1,044,694,287.69|929,586,637.87
购买商品、接受劳务支付的现金||638,729,984.24|658,838,020.62
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||195,641,801.00|185,171,371.30
支付的各项税费||36,532,333.40|58,352,701.68
支付其他与经营活动有关的现金|七、78|69,390,902.20|36,920,261.40
经营活动现金流出小计||940,295,020.84|939,282,355.00
经营活动产生的现金流量净额||104,399,266.85|-9,695,717.13
二、投资活动产生的现金流量：|||
收回投资收到的现金||90,209,250.00|362,080.59
page|116
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||11,001.98|151,226.74
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||32,833,861.60|36,437,808.65
投资活动现金流入小计||123,054,113.58|36,951,115.98
购建固定资产、无形资产和其他长期资产支付的现金||100,240,866.60|17,957,234.64
投资支付的现金||436,000,000.00|357,436.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、78||2,380,000.00
投资活动现金流出小计||536,240,866.60|20,694,670.64
投资活动产生的现金流量净额||-413,186,753.02|16,256,445.34
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||602,744,960.00|317,511,500.00
其中：子公司吸收少数股东投资收到的现金|||1,800,000.00
取得借款收到的现金||492,291,496.46|486,109,105.39
收到其他与筹资活动有关的现金|||84,949,007.16
筹资活动现金流入小计||1,095,036,456.46|888,569,612.55
偿还债务支付的现金||664,180,437.61|542,738,052.80
分配股利、利润或偿付利息支付的现金||33,061,486.60|176,933,801.83
其中：子公司支付给少数股东的股利、利润|||30,401,889.77
支付其他与筹资活动有关的现金||11,651,077.94|84,949,007.16
筹资活动现金流出小计||708,893,002.15|804,620,861.79
筹资活动产生的现金流量净额||386,143,454.31|83,948,750.76
四、汇率变动对现金及现金等价物的影响||483,809.25|-400,380.41
五、现金及现金等价物净增加额||77,839,777.39|90,109,098.56
加：期初现金及现金等价物余额||146,541,522.73|56,432,424.17
六、期末现金及现金等价物余额||224,381,300.12|146,541,522.73
