page|64
项目|注释|本年金额|上年金额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,955,902,503.92|1,776,146,683.86
收到的税费返还||158,146,279.37|172,342,600.95
收到其他与经营活动有关的现金|六、48（1)|89,198,956.43|60,998,482.73
经营活动现金流入小计||2,203,247,739.72|2,009,487,767.54
购买商品、接受劳务支付的现金||1,650,115,355.00|1,504,050,714.36
支付给职工以及为职工支付的现金||283,829,082.26|255,089,740.09
支付的各项税费||24,500,977.75|15,183,113.18
支付其他与经营活动有关的现金|六、48（2)|101,182,036.73|129,088,139.09
经营活动现金流出小计||2,059,627,451.74|1,903,411,706.72
经营活动产生的现金流量净额|六、49|143,620,287.98|106,076,060.82
二、投资活动产生的现金流量：|||
收回投资收到的现金||620,000,000.00|437,821,540.00
取得投资收益收到的现金||21,778,521.54|15,128,306.66
处置固定资产、无形资产和其他长期资产收回的现金净额||68,470,997.38|3,275,366.62
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|六、48（3)|228,047,963.79|696,692,500.00
投资活动现金流入小计||938,297,482.71|1,152,917,713.28
购建固定资产、无形资产和其他长期资产支付的现金||59,768,023.19|69,489,279.11
投资支付的现金||592,665,278.14|560,000,000.00
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|六、48（4)|228,047,963.79|696,692,500.00
投资活动现金流出小计||880,481,265.12|1,326,181,779.11
投资活动产生的现金流量净额||57,816,217.59|-173,264,065.83
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||71,995,400.00|109,563,901.81
收到其他与筹资活动有关的现金|六、48（5)|21,200,000.00|5,719,914.44
筹资活动现金流入小计||93,195,400.00|115,283,816.25
偿还债务支付的现金||83,696,417.30|110,890,680.00
分配股利、利润或偿付利息支付的现金||15,896,786.82|27,094,288.51
其中：子公司支付给少数股东的股利、利润||8,481,119.57|11,182,518.61
支付其他与筹资活动有关的现金|六、48（6)||26,919,914.44
筹资活动现金流出小计||99,593,204.12|164,904,882.95
筹资活动产生的现金流量净额||-6,397,804.12|-49,621,066.70
四、汇率变动对现金及现金等价物的影响||-3,907,794.94|919,406.30
五、现金及现金等价物净增加额||191,130,906.51|-115,889,665.41
加：期初现金及现金等价物余额||448,492,295.47|564,381,960.88
六、期末现金及现金等价物余额||639,623,201.98|448,492,295.47
