page|104
项目|附注七|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||948,238,652.35|837,267,043.75
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||1,931,274.38|2,359,677.90
收到其他与经营活动有关的现金|78|114,856,681.10|122,815,973.33
经营活动现金流入小计||1,065,026,607.83|962,442,694.98
购买商品、接受劳务支付的现金||803,292,705.57|623,219,534.92
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||82,794,344.89|81,666,867.96
支付的各项税费||20,405,809.72|20,549,102.12
支付其他与经营活动有关的现金|78|146,393,016.51|135,807,005.27
经营活动现金流出小计||1,052,885,876.69|861,242,510.27
经营活动产生的现金流量净额||12,140,731.14|101,200,184.71
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
page|105
取得投资收益收到的现金||384,940.91|309,480.29
处置固定资产、无形资产和其他长期资产收回的现金净额||449,072.00|449,680.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|78|145,000,000.00|40,000,000.00
投资活动现金流入小计||145,834,012.91|40,759,160.29
购建固定资产、无形资产和其他长期资产支付的现金||18,555,187.27|51,771,927.93
投资支付的现金|||5,700,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|78|145,000,000.00|40,000,000.00
投资活动现金流出小计||163,555,187.27|97,471,927.93
投资活动产生的现金流量净额||-17,721,174.36|-56,712,767.64
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||418,893,117.00|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||77,500,000.00|195,054,041.92
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||496,393,117.00|195,054,041.92
偿还债务支付的现金||206,611,003.00|181,063,005.37
分配股利、利润或偿付利息支付的现金||18,481,402.81|8,931,489.19
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|78|14,436,331.42|
筹资活动现金流出小计||239,528,737.23|189,994,494.56
筹资活动产生的现金流量净额||256,864,379.77|5,059,547.36
四、汇率变动对现金及现金等价物的影响||-364.33|2,546.15
五、现金及现金等价物净增加额||251,283,572.22|49,549,510.58
加：期初现金及现金等价物余额||238,241,098.23|188,691,587.65
六、期末现金及现金等价物余额||489,524,670.45|238,241,098.23
