page|100
项目|附注七|2020 年度|2019 年度
一、营业总收入||798,906,310.35|730,714,061.69
其中：营业收入|61|798,906,310.35|730,714,061.69
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||772,687,105.15|677,709,542.36
其中：营业成本|61|668,939,212.69|568,560,193.30
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|4,535,382.54|2,729,464.41
销售费用|63|30,197,886.33|34,385,688.61
管理费用|64|35,399,637.22|35,966,011.66
研发费用|65|38,627,995.34|31,893,860.42
财务费用|66|-5,013,008.97|4,174,323.96
其中：利息费用||4,853,110.30|6,112,593.13
利息收入||9,724,393.59|2,389,796.32
加：其他收益|67|31,209,726.89|19,671,195.42
投资收益（损失以“－”号填列）|68|-126,233.93|53,752.79
其中：对联营企业和合营企业的投资收益||-511,174.84|-255,727.50
以摊余成本计量的金融资产终止确认收益|||
page|101
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|71|-3,741,721.48|2,141,200.39
资产减值损失（损失以“-”号填列）|72|-721,100.09|-195,289.95
资产处置收益（损失以“－”号填列）|73|112,292.00|-39,765.59
三、营业利润（亏损以“－”号填列）||52,952,168.59|74,635,612.39
加：营业外收入|74|18,595.62|133,702.00
减：营业外支出|75|1,179,773.76|247,494.73
四、利润总额（亏损总额以“－”号填列）||51,790,990.45|74,521,819.66
减：所得税费用|76|2,130,233.71|9,021,249.00
五、净利润（净亏损以“－”号填列）||49,660,756.74|65,500,570.66
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||49,660,756.74|65,500,570.66
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||49,939,878.10|61,097,546.94
2.少数股东损益（净亏损以“-”号填列）||-279,121.36|4,403,023.72
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
page|102
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||49,660,756.74|65,500,570.66
（一）归属于母公司所有者的综合收益总额||49,939,878.10|61,097,546.94
（二）归属于少数股东的综合收益总额||-279,121.36|4,403,023.72
八、每股收益：|||
（一）基本每股收益(元/股)||0.77|1.21
（二）稀释每股收益(元/股)||0.77|1.21
