page|75
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||684,278,195.58|803,452,703.68
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金||16,308,825.67|25,156,882.89
经营活动现金流入小计||700,587,021.25|828,609,586.57
page|76
购买商品、接受劳务支付的现金||109,048,487.70|164,862,676.64
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||68,178,589.25|70,197,492.01
支付的各项税费||81,601,969.67|83,161,035.18
支付其他与经营活动有关的现金||395,199,604.45|398,942,878.71
经营活动现金流出小计||654,028,651.07|717,164,082.54
经营活动产生的现金流量净额||46,558,370.18|111,445,504.03
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||20,959,235.02|6,324,735.00
处置固定资产、无形资产和其他长期资产收回的现金净额||118,776.00|15,733.00
处置子公司及其他营业单位收到的现金净额||761,275.17|
收到其他与投资活动有关的现金||1,535,120,000.00|1,936,189,663.08
投资活动现金流入小计||1,556,959,286.19|1,942,530,131.08
购建固定资产、无形资产和其他长期资产支付的现金||10,345,736.14|63,479,738.29
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||1,509,500,000.00|2,031,307,335.29
投资活动现金流出小计||1,519,845,736.14|2,094,787,073.58
投资活动产生的现金流量净额||37,113,550.05|-152,256,942.50
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||50,000,000.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||50,000,000.00
偿还债务支付的现金|||50,000,000.00
分配股利、利润或偿付利息支付的现金||14,596,580.74|17,645,936.38
其中：子公司支付给少数股东的股利、利润|||
page|77
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||14,596,580.74|67,645,936.38
筹资活动产生的现金流量净额||-14,596,580.74|-17,645,936.38
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||69,075,339.49|-58,457,374.85
加：期初现金及现金等价物余额||298,343,478.10|356,800,852.95
六、期末现金及现金等价物余额||367,418,817.59|298,343,478.10
