page|125
项目|2020 年度|2019 年度
一、营业总收入|156,597,691,000.00|127,738,523,000.00
page|126
其中：营业收入|156,597,691,000.00|127,738,523,000.00|
二、营业总成本|149,010,372,000.00|125,615,182,000.00|
其中：营业成本|126,251,380,000.00|106,924,288,000.00|
税金及附加|2,154,415,000.00|1,560,596,000.00|
销售费用|5,055,613,000.00|4,345,897,000.00|
管理费用|4,321,493,000.00|4,140,997,000.00|
研发费用|7,464,861,000.00|5,629,372,000.00|
财务费用|3,762,610,000.00|3,014,032,000.00|
其中：利息费用|3,123,801,000.00|3,487,407,000.00|
利息收入|214,613,000.00|353,761,000.00|
加：其他收益|1,695,227,000.00|1,723,678,000.00|
投资收益（损失以“－”号填列）|-272,810,000.00|-808,695,000.00|
其中：对联营企业和合营企业的投资收益|-186,837,000.00|-422,776,000.00|
以摊余成本计量的金融资产终止确认收益|-299,523,000.00|-519,134,000.00|
净敞口套期收益（损失以“－”号填列）|||
公允价值变动收益（损失以“－”号填列）|-51,267,000.00|9,749,000.00|
信用减值损失（损失以“-”号填列）|-951,902,000.00|-496,855,000.00|
资产减值损失（损失以“-”号填列）|-906,530,000.00|-139,176,000.00|
资产处置收益（损失以“-”号填列）|-14,264,000.00|-99,754,000.00|
三、营业利润（亏损以“－”号填列）|7,085,773,000.00|2,312,288,000.00|
加：营业外收入|281,660,000.00|226,322,000.00|
减：营业外支出|484,846,000.00|107,479,000.00|
四、利润总额（亏损总额以“－”号填列）|6,882,587,000.00|2,431,131,000.00|
减：所得税费用|868,624,000.00|312,274,000.00|
五、净利润（净亏损以“－”号填列）|6,013,963,000.00|2,118,857,000.00|
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）|6,013,963,000.00|2,118,857,000.00|
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润|4,234,267,000.00|1,614,450,000.00|
2.少数股东损益|1,779,696,000.00|504,407,000.00|
六、其他综合收益的税后净额|-508,919,000.00|246,097,000.00|
归属母公司所有者的其他综合收益的税后净额|-509,407,000.00|244,087,000.00|
（一）不能重分类进损益的其他综合收益|-438,579,000.00|237,691,000.00|
1.重新计量设定受益计划变动额|||
2.权益法下不能转损益的其他综合收益|||
page|127
3.其他权益工具投资公允价值变动|-502,223,000.00|301,335,000.00|
4.企业自身信用风险公允价值变动|||
5.所得税|63,644,000.00|-63,644,000.00|
6.其他|||
（二）将重分类进损益的其他综合收益|-70,828,000.00|6,396,000.00|
1.权益法下可转损益的其他综合收益|||
2.其他债权投资公允价值变动|||
3.可供出售金融资产公允价值变动损益|||
4.金融资产重分类计入其他综合收益的金额|||
5.持有至到期投资重分类为可供出售金融资产损益|||
6.其他债权投资信用减值准备|||
7.现金流量套期储备|||
8.外币财务报表折算差额|-58,477,000.00|13,537,000.00|
9.应收款项融资公允价值变动|-12,680,000.00|-5,234,000.00|
10.应收款项融资信用减值损失|329,000.00|-1,907,000.00|
11.其他|||
归属于少数股东的其他综合收益的税后净额|488,000.00|2,010,000.00|
七、综合收益总额|5,505,044,000.00|2,364,954,000.00|
归属于母公司所有者的综合收益总额|3,724,860,000.00|1,858,537,000.00|
归属于少数股东的综合收益总额|1,780,184,000.00|506,417,000.00|
八、每股收益：|||
（一）基本每股收益|1.47|0.50|
（二）稀释每股收益|1.47|0.50|
