page|58
项目|附注、七|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|1|842,766,691.27|163,722,662.05
结算备付金|||
拆出资金|||
交易性金融资产|||
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|||
应收票据|||
应收账款|5|311,462,931.83|132,322,576.57
应收款项融资|||
预付款项|7|141,801.13|694,653.35
page|59
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|8|949,774.17|624,952.07
其中：应收利息||33,722.19|237,106.77
应收股利|||
买入返售金融资产|||
存货|9|351,147,465.71|161,632,058.17
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|12|8,097,748.01|22,913,137.26
流动资产合计||1,514,566,412.12|481,910,039.47
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||
其他债权投资|||
持有至到期投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|18|9,980,063.36|
投资性房地产|||
固定资产|20|51,167,239.93|52,843,894.06
在建工程|||
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|25|21,104,198.26|1,541,766.41
开发支出|||
商誉|||
长期待摊费用|||
递延所得税资产|29|1,482,915.83|667,134.88
其他非流动资产|||
非流动资产合计||83,734,417.38|55,052,795.35
资产总计||1,598,300,829.50|536,962,834.82
流动负债：|||
短期借款|31|56,711,064.56|
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|||
应付账款|35|180,051,674.14|78,136,082.08
预收款项|36|41,942,893.06|3,374.84
卖出回购金融资产款|||
page|60
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|37|16,202,572.85|11,031,962.91
应交税费|38|15,781,534.46|5,659,539.70
其他应付款|39|19,822,759.88|2,934,496.02
其中：应付利息|||
应付股利||4,544,871.12|0.00
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|||
流动负债合计||330,512,498.95|97,765,455.55
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|49|5,620,000.00|4,800,000.00
递延所得税负债|||
其他非流动负债|||
非流动负债合计||5,620,000.00|4,800,000.00
负债合计||336,132,498.95|102,565,455.55
所有者权益（或股东权益）：|||
实收资本（或股本）|51|138,713,534.00|104,035,150.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|53|686,798,386.80|118,400,263.42
减：库存股|||
其他综合收益|55|376,947.56|309,992.19
专项储备|||
盈余公积|57|44,757,196.14|20,910,984.10
一般风险准备|||
未分配利润|58|391,522,266.05|190,740,989.56
归属于母公司所有者权益（或股东权益）合计||1,262,168,330.55|434,397,379.27
少数股东权益|||
所有者权益（或股东权益）合计||1,262,168,330.55|434,397,379.27
负债和所有者权益（或股东权益）总计||1,598,300,829.50|536,962,834.82
