page|66
项目|附注、七|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,061,397,806.07|580,783,112.77
客户存款和同业存放款项净增加额|||
page|67
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||117,668.89|
收到其他与经营活动有关的现金|77|12,436,239.81|11,858,677.42
经营活动现金流入小计||1,073,951,714.77|592,641,790.19
购买商品、接受劳务支付的现金||887,213,312.99|404,448,238.07
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||63,526,069.48|54,614,765.21
支付的各项税费||14,257,733.41|10,753,166.99
支付其他与经营活动有关的现金|77|83,804,574.65|38,430,292.72
经营活动现金流出小计||1,048,801,690.53|508,246,462.99
经营活动产生的现金流量净额||25,150,024.24|84,395,327.20
二、投资活动产生的现金流量：|||
收回投资收到的现金||727,000,000.00|208,010,684.93
取得投资收益收到的现金||9,221,277.97|779,424.32
处置固定资产、无形资产和其他长期资产收回的现金净额|||
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||736,221,277.97|208,790,109.25
购建固定资产、无形资产和其他长期资产支付的现金||26,655,361.93|3,989,528.82
投资支付的现金||715,990,000.00|229,010,684.93
page|68
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||742,645,361.93|233,000,213.75
投资活动产生的现金流量净额||-6,424,083.96|-24,210,104.50
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||610,525,087.75|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||61,681,600.00|
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||672,206,687.75|
偿还债务支付的现金||5,000,000.00|
分配股利、利润或偿付利息支付的现金||23,676,050.99|
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|77|7,109,170.87|0.00
筹资活动现金流出小计||35,785,221.86|
筹资活动产生的现金流量净额||636,421,465.89|0.00
四、汇率变动对现金及现金等价物的影响||3,896,623.05|4,592,769.52
五、现金及现金等价物净增加额||659,044,029.22|64,777,992.22
加：期初现金及现金等价物余额||163,722,662.05|98,944,669.83
六、期末现金及现金等价物余额||822,766,691.27|163,722,662.05
