page|71
项目|附注五|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||42,255,367,362.53|50,072,423,436.32
客户存款和同业存放款项净增加额||819,987,371.00|1,842,313,792.06
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
page|72
收取利息、手续费及佣金的现金|||
拆入资金净增加额||302,548,719.28|276,454,347.57
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||207,046,801.50|207,978,635.25
收到其他与经营活动有关的现金|（八十二）|1,684,738,487.50|1,662,605,781.56
经营活动现金流入小计||45,269,688,741.81|54,061,775,992.76
购买商品、接受劳务支付的现金||36,700,269,894.64|43,468,778,134.05
客户贷款及垫款净增加额||2,258,767,185.66|1,361,566,314.15
存放中央银行和同业款项净增加额||-63,950,199.29|409,010,591.16
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金||104,880,067.13|69,844,313.73
支付保单红利的现金|||
支付给职工及为职工支付的现金||2,030,896,468.48|1,972,994,955.20
支付的各项税费||1,464,376,252.92|1,586,177,222.50
支付其他与经营活动有关的现金|（八十二）|1,628,258,822.20|2,239,972,741.43
经营活动现金流出小计||44,123,498,491.74|51,108,344,272.22
经营活动产生的现金流量净额||1,146,190,250.07|2,953,431,720.54
二、投资活动产生的现金流量：|||
收回投资收到的现金||846,300,685.86|689,311,883.79
取得投资收益收到的现金||260,200,662.98|313,175,070.06
处置固定资产、无形资产和其他长期资产收回的现金净额||75,795,249.55|68,480,244.32
处置子公司及其他营业单位收到的现金净额|（八十三）|968,400.44|
收到其他与投资活动有关的现金|（八十二）|53,479,919.87|55,484,150.20
投资活动现金流入小计||1,236,744,918.70|1,126,451,348.37
购建固定资产、无形资产和其他长期资产支付的现金||1,755,865,238.91|1,648,317,690.52
投资支付的现金||1,165,826,033.11|1,674,234,457.58
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（八十二）|50,748,000.00|50,748,000.00
投资活动现金流出小计||2,972,439,272.02|3,373,300,148.10
投资活动产生的现金流量净额||-1,735,694,353.32|-2,246,848,799.73
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||360,255,180.00|93,315,600.00
其中：子公司吸收少数股东投资收到的现金||360,255,180.00|93,315,600.00
取得借款收到的现金||8,066,998,814.65|5,830,025,119.72
收到其他与筹资活动有关的现金|（八十二）|3,215,549.75|
筹资活动现金流入小计||8,430,469,544.40|5,923,340,719.72
偿还债务支付的现金||7,403,413,661.04|4,684,549,856.66
分配股利、利润或偿付利息支付的现金||1,198,933,385.63|919,652,764.49
其中：子公司支付给少数股东的股利、利润||108,316,863.07|106,334,104.58
page|73
支付其他与筹资活动有关的现金|（八十二）|1.00|298,575,774.40
筹资活动现金流出小计||8,602,347,047.67|5,902,778,395.55
筹资活动产生的现金流量净额||-171,877,503.27|20,562,324.17
四、汇率变动对现金及现金等价物的影响||51,939,990.67|49,281,199.50
五、现金及现金等价物净增加额||-709,441,615.85|776,426,444.48
加：期初现金及现金等价物余额||11,437,118,716.35|10,660,692,271.87
六、期末现金及现金等价物余额||10,727,677,100.50|11,437,118,716.35
