page|45
项目|附注五|2020 年度|2019 年度
一、营业总收入||734,397,436.23|584,723,847.72
其中：营业收入|（三十三）|734,397,436.23|584,723,847.72
二、营业总成本||751,984,890.83|632,034,551.58
其中：营业成本|（三十三）|627,308,507.01|508,629,589.36
税金及附加|（三十四）|1,538,266.37|1,549,550.30
销售费用|（三十五）|41,478,299.38|32,484,371.13
管理费用|（三十六）|46,101,492.04|47,285,449.80
研发费用|（三十七）|27,408,173.96|31,044,719.12
财务费用|（三十八）|8,150,152.07|11,040,871.87
其中：利息费用||6,675,956.52|11,761,602.85
利息收入||502,780.71|520,271.14
加：其他收益|（三十九）|1,877,752.98|2,301,535.89
投资收益（损失以“－”号填列）|（四十）|157,186,427.82|5,427,706.09
page|46
其中：对联营企业和合营企业的投资收益||14,855,745.00|4,320,581.89
公允价值变动收益（损失以“－”号填列）|（四十一）|-23,625,466.01|-8,921,585.56
|信用减值损失（损失以“-”号填列）  （四十二）|335,605.73|-15,824,486.40
|资产减值损失（损失以“-”号填列）  （四十三）|-5,548,220.27|-10,078,259.10
|资产处置收益（损失以“－”号填列）  （四十四）|4,111,870.00|4,145,259.74
三、营业利润（亏损以“－”号填列）||116,750,515.65|-70,260,533.20
加：营业外收入|（四十五）|786,277.99|412,835.56
减：营业外支出|（四十六）|1,122,499.55|507,411.39
四、利润总额（亏损总额以“－”号填列）||116,414,294.09|-70,355,109.03
减：所得税费用|（四十七）|33,023,397.11|5,417,711.37
五、净利润（净亏损以“－”号填列）||83,390,896.98|-75,772,820.40
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||83,390,896.98|-75,772,820.40
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||96,133,553.22|-63,033,486.89
2.少数股东损益（净亏损以“-”号填列）||-12,742,656.24|-12,739,333.51
六、其他综合收益的税后净额||-249,879.07|249,879.07
（一）归属母公司所有者的其他综合收益的税后净额|（三十）|-249,879.07|249,879.07
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-249,879.07|249,879.07
（1）权益法下可转损益的其他综合收益||-249,879.07|249,879.07
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||83,141,017.91|-75,522,941.33
（一）归属于母公司所有者的综合收益总额||95,883,674.15|-62,783,607.82
（二）归属于少数股东的综合收益总额||-12,742,656.24|-12,739,333.51
八、每股收益：|||
（一）基本每股收益(元/股)||0.30|-0.20
（二）稀释每股收益(元/股)||0.30|-0.20
