page|48
项目|附注五|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||751,588,558.67|596,087,003.79
收到的税费返还||2,553,691.94|1,293,780.22
收到其他与经营活动有关的现金|（四十九）1|40,855,508.77|9,361,700.02
经营活动现金流入小计||794,997,759.38|606,742,484.03
购买商品、接受劳务支付的现金||620,682,208.61|445,442,679.22
支付给职工及为职工支付的现金||70,300,504.96|76,967,572.54
支付的各项税费||14,462,325.08|19,999,921.86
支付其他与经营活动有关的现金|（四十九）2|78,755,340.68|54,971,592.14
经营活动现金流出小计||784,200,379.33|597,381,765.76
经营活动产生的现金流量净额||10,797,380.05|9,360,718.27
二、投资活动产生的现金流量：|||
收回投资收到的现金||170,675,784.77|2,848,287.73
取得投资收益收到的现金||106,525.39|1,094,925.89
处置固定资产、无形资产和其他长期资产收回的现金净额||9,658,159.62|4,713,675.94
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||180,440,469.78|8,656,889.56
购建固定资产、无形资产和其他长期资产支付的现金||27,720,551.60|69,981,937.19
投资支付的现金||31,337,204.27|23,610,628.00
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||59,057,755.87|93,592,565.19
投资活动产生的现金流量净额||121,382,713.91|-84,935,675.63
三、筹资活动产生的现金流量：|||
page|49
吸收投资收到的现金||1,940,000.00|51,000,000.00
其中：子公司吸收少数股东投资收到的现金||1,940,000.00|51,000,000.00
取得借款收到的现金||80,000,000.00|40,000,000.00
收到其他与筹资活动有关的现金|（四十九）3|1,185,670.79|43,130,110.00
筹资活动现金流入小计||83,125,670.79|134,130,110.00
偿还债务支付的现金||58,000,000.00|117,000,000.00
分配股利、利润或偿付利息支付的现金||5,149,796.99|22,471,907.25
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（四十九）4|58,367,321.78|36,786,313.16
筹资活动现金流出小计||121,517,118.77|176,258,220.41
筹资活动产生的现金流量净额||-38,391,447.98|-42,128,110.41
四、汇率变动对现金及现金等价物的影响||-1,797,014.44|286,471.13
五、现金及现金等价物净增加额||91,991,631.54|-117,416,596.64
加：期初现金及现金等价物余额||55,229,639.06|172,646,235.70
六、期末现金及现金等价物余额||147,221,270.60|55,229,639.06
