page|92
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||21,026,074,369.68|13,949,579,745.08
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||281,037,528.68|249,298,048.15
收到其他与经营活动有关的现金|（六十三）|899,054,507.58|1,360,755,361.74
经营活动现金流入小计||22,206,166,405.94|15,559,633,154.97
购买商品、接受劳务支付的现金||18,248,235,525.58|11,894,604,801.16
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||2,526,169,165.98|2,062,040,241.69
支付的各项税费||489,316,529.26|362,181,577.87
支付其他与经营活动有关的现金|（六十三）|1,231,314,113.16|1,073,561,334.94
经营活动现金流出小计||22,495,035,333.98|15,392,387,955.66
经营活动产生的现金流量净额||-288,868,928.04|167,245,199.31
二、投资活动产生的现金流量|||
收回投资收到的现金||1,658,439,777.77|1,077,308,104.65
取得投资收益收到的现金||25,397,091.14|20,257,237.44
处置固定资产、无形资产和其他长期资产收回的现金净额||792,030.28|3,217,057.50
处置子公司及其他营业单位收到的现金净额|||207,733,179.70
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,684,628,899.19|1,308,515,579.29
购建固定资产、无形资产和其他长期资产支付的现金||1,023,283,123.77|1,510,018,807.79
投资支付的现金||2,916,665,679.52|1,441,688,332.53
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（六十三）||54,732,143.03
投资活动现金流出小计||3,939,948,803.29|3,006,439,283.35
投资活动产生的现金流量净额||-2,255,319,904.10|-1,697,923,704.06
三、筹资活动产生的现金流量|||
吸收投资收到的现金||746,709,284.85|
其中：子公司吸收少数股东投资收到的现金||654,472,806.00|
取得借款收到的现金||8,645,294,081.52|8,209,478,434.07
收到其他与筹资活动有关的现金|（六十三）|1,082,392,588.66|1,529,679,225.56
筹资活动现金流入小计||10,474,395,955.03|9,739,157,659.63
偿还债务支付的现金||7,009,721,189.72|6,863,426,759.41
分配股利、利润或偿付利息支付的现金||653,163,165.84|557,470,030.78
其中：子公司支付给少数股东的股利、利润||22,488,170.39|24,523,783.84
支付其他与筹资活动有关的现金|（六十三）|1,025,642,689.91|193,361,802.11
筹资活动现金流出小计||8,688,527,045.47|7,614,258,592.30
筹资活动产生的现金流量净额||1,785,868,909.56|2,124,899,067.33
四、汇率变动对现金及现金等价物的影响||-4,508,773.81|-13,337,468.44
五、现金及现金等价物净增加额||-762,828,696.39|580,883,094.14
加：期初现金及现金等价物余额||4,398,967,375.56|3,818,084,281.42
六、期末现金及现金等价物余额||3,636,138,679.17|4,398,967,375.56
