page|90
项目|附注五|本期金额|上期金额
一、营业总收入||17,790,432,972.09|14,446,088,072.53
其中：营业收入|（四十七）|17,790,432,972.09|14,446,088,072.53
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||17,481,742,971.41|13,840,598,345.63
其中：营业成本|（四十七）|14,071,991,278.34|11,178,561,915.40
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|(四十八)|87,138,615.31|124,052,079.24
销售费用|（四十九）|653,476,227.36|492,846,634.60
管理费用|（五十）|1,077,680,516.54|727,985,857.48
研发费用|（五十一）|1,247,009,889.08|1,002,004,702.27
财务费用|（五十二）|344,446,444.78|315,147,156.64
其中：利息费用|（五十二）|379,964,898.00|324,860,029.31
利息收入|（五十二）|51,290,220.87|44,496,187.38
加：其他收益|（五十三）|469,599,608.50|559,720,793.93
投资收益（损失以“-”号填列）|（五十四）|378,038,925.23|95,097,729.34
其中：对联营企业和合营企业的投资收益|（五十四）|179,550,816.89|51,166,623.97
以摊余成本计量的金融资产终止确认收益|（五十四）|-1,610,863.30|-6,636,987.70
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|（五十五）|-61,804,294.17|-92,968,235.45
信用减值损失（损失以“-”号填列）|（五十六）|-110,248,140.98|-77,590,569.16
资产减值损失（损失以“-”号填列）|（五十七）|-243,739,783.70|-44,127,691.74
资产处置收益（损失以“-”号填列）|（五十八）|402,630.35|521,340.16
三、营业利润（亏损以“-”号填列）||740,938,945.91|1,046,143,093.98
加：营业外收入|（五十九）|4,832,614.46|2,874,160.24
减：营业外支出|（六十）|7,488,668.82|4,973,978.29
四、利润总额（亏损总额以“-”号填列）||738,282,891.55|1,044,043,275.93
减：所得税费用|（六十一）|55,794,014.28|69,457,786.08
五、净利润（净亏损以“-”号填列）||682,488,877.27|974,585,489.85
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||682,351,873.71|974,585,489.85
2．终止经营净利润（净亏损以“-”号填列）||137,003.56|
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||597,624,297.17|927,860,457.31
2．少数股东损益（净亏损以“-”号填列）||84,864,580.10|46,725,032.54
六、其他综合收益的税后净额|（四十三）|72,921,426.28|49,562,039.94
归属于母公司所有者的其他综合收益的税后净额|（四十三）|73,484,660.72|50,785,209.17
（一）不能重分类进损益的其他综合收益||-10,322,994.00|66,831,968.00
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益|||
3．其他权益工具投资公允价值变动||-10,322,994.00|66,831,968.00
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||83,807,654.72|-16,046,758.83
1．权益法下可转损益的其他综合收益|||
2．其他债权投资公允价值变动||352,528.45|737,859.43
3．金融资产重分类计入其他综合收益的金额|||
4．其他债权投资信用减值准备|||
5．现金流量套期储备|||
6．外币财务报表折算差额||-555,062.65|-16,784,618.26
7．其他||84,010,188.92|
归属于少数股东的其他综合收益的税后净额||-563,234.44|-1,223,169.23
七、综合收益总额||755,410,303.55|1,024,147,529.79
归属于母公司所有者的综合收益总额||671,108,957.89|978,645,666.48
归属于少数股东的综合收益总额||84,301,345.66|45,501,863.31
八、每股收益：|（六十二）||
（一）基本每股收益（元/股）||0.204|0.317
（二）稀释每股收益（元/股）||0.204|0.317
