page|73
项目|附注六|2020 年度|2019 年度
一、营业总收入||2,900,840,838.71|3,437,821,912.85
其中：营业收入|注释 61|2,900,840,838.71|3,437,821,912.85
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||3,035,653,314.02|3,338,459,239.42
其中：营业成本|注释 61|2,593,222,227.68|2,884,867,755.69
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|注释 62|24,658,019.55|28,376,622.21
销售费用|注释 63|50,531,467.32|57,231,978.73
管理费用|注释 64|117,068,602.82|126,083,528.72
研发费用|注释 65|31,667,804.75|30,615,713.30
财务费用|注释 66|218,505,191.90|211,283,640.77
其中：利息费用||224,115,484.98|225,181,414.47
利息收入||6,781,012.72|18,090,805.00
加：其他收益|注释 67|39,216,263.68|48,114,447.92
投资收益（损失以“－”号填列）|注释 68|2,261,506.83|6,473,710.38
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|注释 71|-38,767,463.64|-34,587,311.16
资产减值损失（损失以“-”号填列）|注释 72|-129,354,268.96|-27,232,044.44
资产处置收益（损失以“－”号填列）|注释 73|123,203.82|449,880.00
三、营业利润（亏损以“－”号填列）||-261,333,233.58|92,581,356.13
加：营业外收入|注释 74|2,711,973.83|4,940,907.19
减：营业外支出|注释 75|1,788,431.53|388,843.53
四、利润总额（亏损总额以“－”号填列）||-260,409,691.28|97,133,419.79
减：所得税费用|注释 76|9,239,559.82|8,423,258.27
五、净利润（净亏损以“－”号填列）||-269,649,251.10|88,710,161.52
page|74
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-269,649,251.10|88,710,161.52
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-284,740,601.02|56,392,473.85
2.少数股东损益（净亏损以“-”号填列）||15,091,349.92|32,317,687.67
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||-269,649,251.10|88,710,161.52
（一）归属于母公司所有者的综合收益总额||-284,740,601.02|56,392,473.85
（二）归属于少数股东的综合收益总额||15,091,349.92|32,317,687.67
八、每股收益：|||
（一）基本每股收益(元/股)||-0.2708|0.0536
（二）稀释每股收益(元/股)||-0.2708|0.0536
