page|77
项目|附注六|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||3,333,366,812.48|4,471,525,016.68
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||25,849,810.45
收到其他与经营活动有关的现金|注释 78|206,001,748.24|221,432,595.08
经营活动现金流入小计||3,539,368,560.72|4,718,807,422.21
购买商品、接受劳务支付的现金||2,277,616,764.69|3,316,753,878.13
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||399,975,514.44|419,508,883.31
支付的各项税费||77,110,181.38|85,081,372.04
支付其他与经营活动有关的现金|注释 78|118,365,225.93|176,105,760.31
经营活动现金流出小计||2,873,067,686.44|3,997,449,893.79
经营活动产生的现金流量净额||666,300,874.28|721,357,528.42
二、投资活动产生的现金流量：|||
收回投资收到的现金||139,000,000.00|229,060,000.00
取得投资收益收到的现金||2,261,506.83|6,933,184.68
处置固定资产、无形资产和其他长期资产收回的现金净额||133,296.31|560.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||141,394,803.14|235,993,744.68
购建固定资产、无形资产和其他长期资产支付的现金||24,363,512.77|38,849,901.82
投资支付的现金||143,000,000.00|222,850,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||167,363,512.77|261,699,901.82
投资活动产生的现金流量净额||-25,968,709.63|-25,706,157.14
page|78
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||4,817,780,690.59|5,557,443,250.00
收到其他与筹资活动有关的现金|注释 78|527,438,256.89|660,000,000.00
筹资活动现金流入小计||5,345,218,947.48|6,217,443,250.00
偿还债务支付的现金||5,360,937,085.05|5,964,401,988.98
分配股利、利润或偿付利息支付的现金||228,724,430.18|289,728,575.90
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|注释 78|360,368,761.75|694,964,980.40
筹资活动现金流出小计||5,950,030,276.98|6,949,095,545.28
筹资活动产生的现金流量净额||-604,811,329.50|-731,652,295.28
四、汇率变动对现金及现金等价物的影响||-54,147.21|-78,497.08
五、现金及现金等价物净增加额||35,466,687.94|-36,079,421.08
加：期初现金及现金等价物余额||425,842,036.67|461,921,457.75
六、期末现金及现金等价物余额||461,308,724.61|425,842,036.67
