page|80
编制单位：新兴铸管股份有限公司|||（除特别注明外，金额单位均为人民币元）
项目|附注六|本期金额|上期金额
一、营业总收入|注释46|40,889,707,108.27|40,547,120,305.78
减： 营业成本|注释46|35,153,633,490.41|33,288,268,033.01
税金及附加|注释47|282,397,976.30|438,952,933.12
销售费用|注释48|1,185,311,517.94|1,077,357,364.27
管理费用|注释49|731,752,639.02|646,386,515.12
研发费用|注释50|321,109,589.83|260,761,136.15
财务费用|注释51|394,620,664.09|541,540,710.49
其中：利息费用|注释51|588,439,650.93|731,612,768.63
利息收入|注释51|207,284,847.17|202,092,632.58
加： 其他收益|注释52|120,242,974.76|79,468,502.13
投资收益|注释53|230,035,047.71|-86,383,803.32
其中：对联营企业和合营企业的投资收益|注释53|150,399,686.30|34,004,017.80
以摊余成本计量的金融资产终止确认收益|||
净敞口套期收益|||
公允价值变动收益|注释54|-7,851,897.04|
信用减值损失|注释55|-429,259,750.22|
资产减值损失|注释56|-711,179,642.37|-911,902,012.79
资产处置收益|注释57|9,901,941.42|838,950.48
二、营业利润||2,032,769,904.94|3,375,875,250.12
加： 营业外收入|注释58|49,861,642.55|261,556,326.56
减： 营业外支出|注释59|33,721,044.48|621,710,068.43
三、利润总额||2,048,910,503.01|3,015,721,508.25
减： 所得税费用|注释60|462,792,635.52|981,690,189.35
四、净利润||1,586,117,867.49|2,034,031,318.90
其中：同一控制下企业合并被合并方在合并前实现的净利润|||
（一）按经营持续性分类|||
持续经营净利润||1,586,117,867.49|2,034,031,318.90
终止经营净利润|||
（二）按所有权归属分类|||
归属于母公司所有者的净利润||1,497,088,402.69|2,101,334,686.61
少数股东损益||89,029,464.80|-67,303,367.71
五、其他综合收益的税后净额||-16,758,266.66|-601,799,948.79
归属于母公司所有者的其他综合收益的税后净额||-17,008,292.58|-603,094,963.67
（一）不能重分类进损益的其他综合收益||-17,431,628.12|
1. 重新计量设定受益计划净变动额|||
2. 权益法下不能转损益的其他综合收益|||
3. 其他权益工具投资公允价值变动||-17,431,628.12|
4. 企业自身信用风险公允价值变动|||
5. 其他|||
（二）将重分类进损益的其他综合收益||423,335.54|-603,094,963.67
1. 权益法下可转损益的其他综合收益|||
2. 可供出售金融资产公允价值变动损益|||-605,039,046.63
3. 持有至到期投资重分类为可供出售金融资产损益|||
4. 其他债权投资公允价值变动|||
5. 金融资产重分类计入其他综合收益的金额|||
6. 其他债权投资信用减值准备|||
7. 现金流量套期储备|||
8. 外币财务报表折算差额||423,335.54|1,944,082.96
9. 一揽子处置子公司在丧失控制权之前产生的投资收益|||
10. 其他资产转换为公允价值模式计量的投资性房地产|||
11. 其他|||
归属于少数股东的其他综合收益的税后净额||250,025.92|1,295,014.88
六、综合收益总额||1,569,359,600.83|1,432,231,370.11
归属于母公司所有者的综合收益总额||1,480,080,110.11|1,498,239,722.94
归属于少数股东的综合收益总额||89,279,490.72|-66,008,352.83
七、每股收益：|||
（一）基本每股收益||0.3751|0.5265
（二）稀释每股收益||0.3751|0.5265
