page|81
|合并现金流量表|||
|2019年度|||
编制单位：新兴铸管股份有限公司||||（除特别注明外，金额单位均为人民币元）
项 目||附注六|本期金额|上期金额
一、经营活动产生的现金流量：||||
销售商品、提供劳务收到的现金|||40,347,502,435.24|35,432,118,678.82
收到的税费返还|||90,713,577.02|92,233,447.88
收到其他与经营活动有关的现金||注释61|524,638,233.14|485,205,269.30
经营活动现金流入小计|||40,962,854,245.40|36,009,557,396.00
购买商品、接受劳务支付的现金|||32,303,806,138.82|26,646,762,653.12
支付给职工以及为职工支付的现金|||2,171,749,197.81|2,039,011,069.52
支付的各项税费|||2,231,885,524.04|2,481,338,301.84
支付其他与经营活动有关的现金||注释61|1,127,084,451.52|1,089,801,518.10
经营活动现金流出小计|||37,834,525,312.19|32,256,913,542.58
经营活动产生的现金流量净额|||3,128,328,933.21|3,752,643,853.42
二、投资活动产生的现金流量：||||
收回投资所收到的现金|||2,092,850,013.53|592,665,002.72
取得投资收益收到的现金|||48,203,160.00|49,584,500.00
处置固定资产、无形资产和其他长期资产收回的现金净额|||38,547,582.84|3,621,702.05
处置子公司及其他营业单位收到的现金净额||||1,028,311,911.91
收到其他与投资活动有关的现金||注释61|1,859,271,325.75|1,822,440,724.02
投资活动现金流入小计|||4,038,872,082.12|3,496,623,840.70
购建固定资产、无形资产和其他长期资产支付的现金|||2,976,854,095.49|1,842,151,826.42
投资支付的现金|||1,707,530,000.00|1,043,476,320.66
取得子公司及其他营业单位支付的现金净额||||1,042,254,746.08
支付其他与投资活动有关的现金||注释61|1,390.36|
投资活动现金流出小计|||4,684,385,485.85|3,927,882,893.16
投资活动产生的现金流量净额|||-645,513,403.73|-431,259,052.46
三、筹资活动产生的现金流量：||||
吸收投资收到的现金|||52,000,000.00|48,500,000.00
其中：子公司吸收少数股东投资收到的现金|||52,000,000.00|48,500,000.00
取得借款收到的现金|||9,721,826,246.25|13,764,406,413.50
发行债券收到的现金|||2,976,000,000.00|997,000,000.00
收到其他与筹资活动有关的现金||注释61||200,000,000.00
筹资活动现金流入小计|||12,749,826,246.25|15,009,906,413.50
偿还债务支付的现金|||12,806,379,683.73|15,121,886,602.80
分配股利、利润或偿付利息支付的现金|||1,397,005,536.98|1,318,822,002.12
其中：子公司支付给少数股东的股利、利润|||23,884,292.94|51,579,804.13
支付其他与筹资活动有关的现金||注释61|188,472,953.80|432,126,252.30
筹资活动现金流出小计|||14,391,858,174.51|16,872,834,857.22
筹资活动产生的现金流量净额|||-1,642,031,928.26|-1,862,928,443.72
四、汇率变动对现金及现金等价物的影响|||-588,587.75|11,199,877.14
五、现金及现金等价物净增加额|||840,195,013.47|1,469,656,234.38
加：期初现金及现金等价物余额|||6,548,073,381.63|5,078,417,147.25
六、期末现金及现金等价物余额|||7,388,268,395.10|6,548,073,381.63
