page|153
项目|附注|本年金额|上年金额（已重述）
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||15,567,101,995.95|12,878,256,705.27
收到的税费返还||142,122,022.96|43,190,041.64
收到其他与经营活动有关的现金|八、65（1）|1,023,728,271.31|912,282,370.53
经营活动现金流入小计||16,732,952,290.22|13,833,729,117.44
购买商品、接受劳务支付的现金||4,395,758,133.61|3,526,421,961.61
支付给职工以及为职工支付的现金||3,313,989,844.94|2,842,897,173.86
支付的各项税费||1,637,763,934.22|1,073,013,338.43
支付其他与经营活动有关的现金|八、65（2）|875,113,806.97|840,107,630.53
经营活动现金流出小计||10,222,625,719.74|8,282,440,104.43
经营活动产生的现金流量净额|八、66（1）|6,510,326,570.48|5,551,289,013.01
二、投资活动产生的现金流量|||
收回投资收到的现金||17,047,342,468.86|9,137,020,345.82
取得投资收益收到的现金||2,956,256,663.23|1,552,583,683.37
处置固定资产、无形资产和其他长期资产收回的现金净额||76,761,096.56|389,937,931.20
收到其他与投资活动有关的现金|八、65（3）|437,156,571.09|1,453,513,215.71
投资活动现金流入小计||20,517,516,799.74|12,533,055,176.10
购建固定资产、无形资产和其他长期资产支付的现金||2,235,972,958.53|2,730,742,008.88
投资支付的现金||22,831,319,242.28|13,686,331,715.60
支付其他与投资活动有关的现金|八、65（4）|22,232,300.95|3,009,770,350.62
投资活动现金流出小计||25,089,524,501.76|19,426,844,075.10
投资活动产生的现金流量净额||-4,572,007,702.02|-6,893,788,899.00
三、筹资活动产生的现金流量|||
吸收投资收到的现金||1,960,000.00|5,347,041,408.13
其中：子公司吸收少数股东投资收到的现金||1,960,000.00|5,347,041,408.13
取得借款收到的现金||17,088,797,909.66|24,095,846,198.30
发行债券收到的现金||9,797,840,000.00|6,197,833,243.33
收到其他与筹资活动有关的现金|八、65（5）|-|1,937,954,936.36
筹资活动现金流入小计||26,888,597,909.66|37,578,675,786.12
偿还债务支付的现金||23,334,671,577.97|26,544,628,012.33
分配股利、利润或偿付利息支付的现金||4,000,078,191.43|4,326,228,539.60
其中：子公司支付给少数股东的股利、利润||1,600,821,550.56|1,586,039,122.85
支付其他与筹资活动有关的现金|八、65（6）|503,530,516.74|1,314,676,771.71
筹资活动现金流出小计||27,838,280,286.14|32,185,533,323.64
筹资活动产生的现金流量净额||-949,682,376.48|5,393,142,462.48
四、汇率变动对现金及现金等价物的影响||-159,899,580.91|60,305,024.35
五、现金及现金等价物净增加额||828,736,911.07|4,110,947,600.84
加：年初现金及现金等价物余额|八、66（2）|11,898,618,327.29|7,787,670,726.45
六、年末现金及现金等价物余额|八、66（2）|12,727,355,238.36|11,898,618,327.29
