page|151
项目|附注|本年金额|上年金额（已重述）
一、营业收入|八、50|15,283,808,174.60|12,756,744,317.91
减：营业成本|八、50|9,046,836,182.49|7,961,938,835.40
税金及附加|八、51|191,974,244.31|151,930,002.18
管理费用|八、52|1,729,160,558.50|1,605,655,465.25
研发费用||217,905,635.67|168,787,774.86
财务费用|八、53|1,545,338,597.29|1,231,930,503.70
其中：利息费用||1,909,848,615.00|1,949,912,922.21
利息收入||377,563,874.49|326,239,184.34
加：其他收益|八、54|363,245,161.08|207,726,827.70
投资收益|八、55|6,636,949,510.91|4,909,830,592.83
其中：对联营企业和合营企业的投资收益|八、55|6,290,957,480.59|3,992,772,117.69
公允价值变动收益（损失）|八、56|221,242,275.17|-411,508,773.58
信用减值利得（损失）|八、57|-252,953,617.50|-457,301,295.35
资产减值利得（损失）|八、58|-420,492,515.75|-551,370,042.53
资产处置收益|八、59|35,576,459.42|1,489,206,502.32
二、营业利润||9,136,160,229.67|6,823,085,547.91
加：营业外收入|八、60|43,467,537.50|81,715,412.68
减：营业外支出|八、61|95,528,693.11|79,003,740.77
三、利润总额||9,084,099,074.06|6,825,797,219.82
减：所得税费用|八、62|1,429,093,084.31|1,277,021,844.62
四、净利润||7,655,005,989.75|5,548,775,375.20
（一）按经营持续性分类|||
1.持续经营净利润||7,655,005,989.75|5,548,775,375.20
2.终止经营净利润||-|-
（二）按所有权归属分类|||
1.归属于母公司股东的净利润||2,685,829,204.07|2,073,844,409.04
2.少数股东损益||4,969,176,785.68|3,474,930,966.16
五、其他综合收益的税后净额|八、64|-711,791,683.91|-1,849,656,940.86
归属于母公司股东的其他综合收益的税后净额||-61,106,763.50|-470,752,737.15
（一）不能重分类进损益的其他综合收益||-316,112.17|-1,552,867.01
1.重新计量设定受益计划变动额||-8,714,853.33|10,248,546.35
2.权益法下不能转损益的其他综合收益||9,495,957.95|-11,817,008.06
3.其他权益工具投资公允价值变动||-1,097,216.79|15,594.70
（二）将重分类进损益的其他综合收益||-60,790,651.33|-469,199,870.14
1.权益法下可转损益的其他综合收益||20,160,707.37|90,675,445.06
2.外币财务报表折算差额||-80,951,358.70|-559,875,315.20
归属于少数股东的其他综合收益的税后净额||-650,684,920.41|-1,378,904,203.71
六、综合收益总额||6,943,214,305.84|3,699,118,434.34
归属于母公司股东的综合收益总额||2,624,722,440.57|1,603,091,671.89
归属于少数股东的综合收益总额||4,318,491,865.27|2,096,026,762.45
七、每股收益|||
（一）基本每股收益||1.40|1.08
（二）稀释每股收益||1.40|1.08
