page|87
项目|附 注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||10,213,729,509.65|11,115,996,731.32
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构|||
page|88
拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||21,367,222.77|32,442,894.26
收到其他与经营活动有关的现金||169,095,570.64|155,130,226.73
经营活动现金流入小计||10,404,192,303.06|11,303,569,852.31
购买商品、接受劳务支付的现金||1,303,631,973.60|923,149,259.63
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||944,611,999.78|844,221,591.13
支付的各项税费||2,434,187,319.69|2,695,435,911.26
支付其他与经营活动有关的现金||302,296,715.05|328,331,123.45
经营活动现金流出小计||4,984,728,008.12|4,791,137,885.47
经营活动产生的现金流量净额||5,419,464,294.94|6,512,431,966.84
page|89
二、投资活动产生的现金流量：|||
收回投资收到的现金|||80,314,052.50
取得投资收益收到的现金||30,823,760.30|24,241,256.08
处置固定资产、无形资产和其他长期资产收回的现金净额||27,363,093.57|1,945,498.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||6,408,800.00|-
投资活动现金流入小计||64,595,653.87|106,500,806.58
购建固定资产、无形资产和其他长期资产支付的现金||805,420,981.26|824,533,683.95
投资支付的现金|||57,800,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||1,333,148,000.00
支付其他与投资活动有关的现金|||
投资活动现金流出小计||805,420,981.26|2,215,481,683.95
投资活动产生的现金流量净额||-740,825,327.39|-2,108,980,877.37
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||219,462,360.00|2,346,291.67
其中：子公司吸收少数股东投资收到的现金||219,462,360.00|2,346,291.67
取得借款收到的现金||7,770,000,000.00|9,452,000,000.00
收到其他与筹资|||
page|90
活动有关的现金|||
筹资活动现金流入小计||7,989,462,360.00|9,454,346,291.67
偿还债务支付的现金||9,770,723,350.00|10,577,247,350.00
分配股利、利润或偿付利息支付的现金||3,061,155,322.52|3,619,125,964.24
其中：子公司支付给少数股东的股利、利润||411,734,593.76|399,273,971.10
支付其他与筹资活动有关的现金||121,935,198.59|29,623,447.44
筹资活动现金流出小计||12,953,813,871.11|14,225,996,761.68
筹资活动产生的现金流量净额||-4,964,351,511.11|-4,771,650,470.01
四、汇率变动对现金及现金等价物的影响|||1,157,496.00
五、现金及现金等价物净增加额||-285,712,543.56|-367,041,884.54
加：期初现金及现金等价物余额||2,148,956,955.99|2,515,998,840.53
六、期末现金及现金等价物余额||1,863,244,412.43|2,148,956,955.99
