page|121
项目|附注|本年年末余额|上年年末余额|项目|附注|本年年末余额|上年年末余额
流动资产：||||流动负债：|||
货币资金|(五)1|64,806,424,374.93|54,197,404,320.33|短期借款|(五)21|4,037,276,081.43|2,794,623,744.18
交易性金融资产||-|-|交易性金融负债||-|-
衍生金融资产||-|-|衍生金融负债||-|-
应收票据|(五)2|36,170,550.95|35,976,179.57|应付票据|(五)22|1,542,660.98|-
应收账款|(五)3|761,090,810.04|433,786,326.34|应付账款|(五)23|39,500,427,444.74|29,806,861,177.48
应收款项融资||-|-|预收款项|(五)24|265,625,643.04|186,540,606.69
预付款项|(五)4|1,930,502,965.83|1,581,634,905.45|合同负债|(五)25|112,536,096,382.06|94,492,623,888.96
其他应收款|(五)5|93,557,284,529.44|67,024,782,116.53|应付职工薪酬|(五)26|4,420,680,193.51|3,804,902,504.55
存货|(五)6|188,801,430,191.19|187,607,922,452.67|应交税费|(五)27|2,589,078,264.03|2,933,072,269.95
合同资产||-|-|其他应付款|(五)28|47,591,617,740.43|47,209,987,078.31
持有待售资产||-|-|持有待售负债||-|-
一年内到期的非流动资产|(五)7|2,127,277,367.76|1,960,544,149.33|一年内到期的非流动负债|(五)29|37,281,720,504.64|39,484,274,364.60
其他流动资产|(五)8|13,079,090,413.75|9,731,102,770.02|其他流动负债|(五)30|9,853,844,100.28|8,281,908,840.87
流动资产合计||365,099,271,203.89|322,573,153,220.24|流动负债合计||258,077,909,015.14|228,994,794,475.59
非流动资产：||||非流动负债：|||
发放贷款及垫款|(五)9|539,276,198.44|1,328,234,517.46|长期借款|(五)31|44,214,157,599.84|41,570,268,157.54
债权投资||-|-|应付债券|(五)32|39,567,698,536.01|24,876,053,011.87
其他债权投资||-|-|其中：优先股||-|-
长期应收款||387,399.94|714,566.63|永续债||-|-
长期股权投资|(五)10|60,872,428,230.10|45,834,014,301.49|租赁负债|(五)33|1,085,583,215.16|1,542,730,393.96
其他权益工具投资|(五)11|159,422,159.55|65,611,755.73|长期应付款||2,979,566.95|-
其他非流动金融资产|(五)12|2,331,609,729.97|1,012,954,597.86|长期应付职工薪酬||-|-
投资性房地产|(五)13|23,215,967,143.06|20,684,689,503.72|预计负债|(五)34|181,791,500.00|80,000,000.00
固定资产|(五)14|1,562,718,176.10|1,706,140,936.36|递延收益||-|-
在建工程||-|-|递延所得税负债|(五)19|4,964,329,702.36|4,919,925,181.38
生产性生物资产||-|-|其他非流动负债|(五)35|4,508,228,567.99|5,608,006,364.12
油气资产||-|-|非流动负债合计||94,524,768,688.31|78,596,983,108.87
使用权资产|(五)15|1,026,055,819.43|1,483,590,601.23|负债合计||352,602,677,703.45|307,591,777,584.46
无形资产|(五)16|30,446,100.98|23,391,865.45|股东权益：|||
开发支出||-|-|股本|(五)36|4,514,583,572.00|4,514,583,572.00
商誉|(五)17|172,615,974.33|-|其他权益工具|(五)37|48,552,818.87|57,528,580.81
长期待摊费用|(五)18|572,568,102.02|454,492,079.09|其中：优先股||-|-
递延所得税资产|(五)19|4,888,298,992.41|4,159,352,115.00|永续债||-|-
其他非流动资产|(五)20|2,338,445,000.00|2,303,245,000.00|资本公积|(五)38|2,105,190,795.91|2,736,397,946.36
非流动资产合计||97,710,239,026.33|79,056,431,840.02|减：库存股||-|-
||||其他综合收益|(五)39|130,599,428.01|238,623,315.60
||||专项储备||-|-
||||盈余公积|(五)40|2,438,452,948.86|2,438,452,948.86
||||一般风险准备||-|-
||||未分配利润|(五)41|53,743,787,722.20|47,492,539,684.88
||||归属于母公司股东权益合计||62,981,167,285.85|57,478,126,048.51
||||少数股东权益||47,225,665,240.92|36,559,681,427.29
||||股东权益合计||110,206,832,526.77|94,037,807,475.80
资产总计||462,809,510,230.22|401,629,585,060.26|负债和股东权益总计||462,809,510,230.22|401,629,585,060.26
