page|106
项目|附注|本年发生额|上年发生额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||30,128,925|26,822,969
收到的税费返还||184,881|213,704
收到其他与经营活动有关的现金|(五)56(1)|864,848|693,212
经营活动现金流入小计||31,178,654|27,729,885
购买商品、接受劳务支付的现金||20,020,798|18,671,558
支付给职工以及为职工支付的现金||3,615,590|3,605,027
支付的各项税费||449,010|385,056
支付其他与经营活动有关的现金|(五)56(2)|2,531,381|3,045,229
经营活动现金流出小计||26,616,779|25,706,870
经营活动产生的现金流量净额|(五)57(1)|4,561,875|2,023,015
二、投资活动产生的现金流量：|||
收回投资收到的现金||3,864|29,808
取得投资收益收到的现金||867|55,078
处置固定资产、无形资产和      其他长期资产收回的现金净额||27,456|22,678
收到其他与投资活动有关的现金|(五)56(3)|8,562|3,223
投资活动现金流入小计||40,749|110,787
购建固定资产、无形资产和      其他长期资产支付的现金||2,589,460|1,969,793
投资支付的现金||2,225|53,422
取得子公司及其他营业单位支付的现金净额|(五)57(2)|655,039|371,192
支付其他与投资活动有关的现金|(五)56(4)|177,476|48,348
投资活动现金流出小计||3,424,200|2,442,755
投资活动产生的现金流量净额||(3,383,451)|(2,331,968)
三、筹资活动产生的现金流量：|||
取得借款收到的现金||4,565,565|3,772,193
发行债券取得的现金||-|692,893
收到其他与筹资活动有关的现金|(五)56(5)|1,124,944|220,738
筹资活动现金流入小计||5,690,509|4,685,824
偿还债务支付的现金||3,670,409|3,405,046
分配股利、利润或偿付利息支付的现金||791,993|728,369
其中：子公司支付给少数股东的股利、利润||42,357|34,865
支付其他与筹资活动有关的现金|(五)56(6)|390,944|409,358
筹资活动现金流出小计||4,853,346|4,542,773
筹资活动产生的现金流量净额||837,163|143,051
四、汇率变动对现金及现金等价物的影响||(91,178)|(318,934)
五、现金及现金等价物净增加(减少)额|(五)57(1)|1,924,409|(484,836)
加：年初现金及现金等价物余额||3,835,071|4,319,907
六、年末现金及现金等价物余额|(五)57(3)|5,759,480|3,835,071
